epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.244,4.30433,4.28042,3.23806,0.42062,0.02628,0.01671,0.00514,3.19947,3.08005,2.30622,0.0700371,0.00332921,0.00332921
2,515.979,2.82673,2.87638,2.05643,0.04996,0.14387,0.06131,0.0261,2.47082,2.43162,1.8198,0.0400041,0.00662957,0.00662957
3,812.437,2.37301,2.45014,1.74682,0.24717,0.08361,0.04616,0.02036,2.64813,2.54656,1.8035,0.00993812,0.00989692,0.00989692
4,1078.41,2.17674,2.22925,1.60862,0.24102,0.14908,0.10955,0.05589,1.99184,1.91592,1.49986,0.0098515,0.0098515,0.0098515
5,1268.34,2.0574,2.04333,1.52125,0.3088,0.16141,0.13573,0.06995,1.89879,1.7732,1.4375,0.009802,0.009802,0.009802
6,1459.21,1.97002,1.91617,1.47509,0.18045,0.19798,0.14144,0.07456,1.86769,1.7003,1.41206,0.0097525,0.0097525,0.0097525
7,1682.92,1.91057,1.82834,1.4381,0.24268,0.1964,0.16627,0.08849,1.79227,1.60112,1.38997,0.009703,0.009703,0.009703
8,1862.82,1.85487,1.75024,1.40935,0.23155,0.21187,0.17809,0.09784,1.73975,1.53663,1.35156,0.0096535,0.0096535,0.0096535
9,2056.05,1.82067,1.69404,1.38256,0.2703,0.216,0.19376,0.10533,1.72649,1.52512,1.34629,0.009604,0.009604,0.009604
10,2291.01,1.79052,1.64344,1.3692,0.27144,0.23364,0.19873,0.10834,1.69989,1.49786,1.32406,0.0095545,0.0095545,0.0095545
11,2535.77,1.76113,1.60556,1.35473,0.27243,0.24305,0.20982,0.11581,1.65126,1.43908,1.30065,0.009505,0.009505,0.009505
12,2750.91,1.7424,1.56682,1.33436,0.32767,0.25143,0.23225,0.12872,1.65214,1.39826,1.30577,0.0094555,0.0094555,0.0094555
13,2973.54,1.728,1.54675,1.33198,0.3169,0.2497,0.22591,0.12944,1.61985,1.39582,1.28025,0.009406,0.009406,0.009406
14,3185.33,1.69973,1.5066,1.31264,0.33271,0.26251,0.24208,0.13513,1.59461,1.36158,1.27549,0.0093565,0.0093565,0.0093565
15,3357.62,1.69127,1.48454,1.3055,0.32172,0.27121,0.24602,0.13932,1.59183,1.3398,1.26078,0.009307,0.009307,0.009307
16,3677.63,1.66687,1.4612,1.29744,0.34136,0.2695,0.25817,0.14706,1.56787,1.31748,1.2547,0.0092575,0.0092575,0.0092575
17,3893.31,1.66207,1.44335,1.29157,0.36417,0.28036,0.26404,0.14845,1.5664,1.30467,1.25728,0.009208,0.009208,0.009208
18,4112.24,1.65222,1.43113,1.2804,0.3489,0.28257,0.2662,0.14936,1.56215,1.29921,1.25062,0.0091585,0.0091585,0.0091585
19,4314.75,1.63327,1.40804,1.27807,0.38145,0.29012,0.27909,0.16074,1.53618,1.25826,1.23631,0.009109,0.009109,0.009109
20,4502.82,1.61971,1.38341,1.27495,0.37429,0.29608,0.27963,0.1608,1.5312,1.26326,1.23251,0.0090595,0.0090595,0.0090595
21,4683.13,1.6125,1.37184,1.26453,0.38825,0.29541,0.28955,0.1663,1.51599,1.23994,1.22836,0.00901,0.00901,0.00901
22,4924.8,1.60751,1.36272,1.26637,0.40578,0.29703,0.29486,0.16968,1.51778,1.23436,1.226,0.0089605,0.0089605,0.0089605
23,5145.95,1.59601,1.34757,1.25852,0.38398,0.30875,0.29547,0.16954,1.50668,1.21921,1.21969,0.008911,0.008911,0.008911
24,5376.24,1.58996,1.33911,1.25397,0.39537,0.29756,0.29526,0.17,1.49467,1.222,1.21479,0.0088615,0.0088615,0.0088615
25,5612.86,1.58411,1.32916,1.24725,0.40027,0.30919,0.30403,0.1756,1.4917,1.20408,1.21333,0.008812,0.008812,0.008812
26,5790.74,1.57501,1.31331,1.24851,0.38405,0.30926,0.2978,0.17167,1.48977,1.21152,1.21103,0.0087625,0.0087625,0.0087625
27,6077.96,1.56569,1.30062,1.24315,0.39764,0.30999,0.30547,0.1778,1.48476,1.19662,1.20619,0.008713,0.008713,0.008713
28,6299.93,1.56394,1.28995,1.23567,0.40495,0.32085,0.3144,0.18215,1.47463,1.18261,1.20192,0.0086635,0.0086635,0.0086635
29,6468.66,1.56202,1.28784,1.23693,0.40264,0.31971,0.31113,0.18262,1.4676,1.18348,1.19786,0.008614,0.008614,0.008614
30,6737.94,1.54209,1.27008,1.22975,0.4242,0.31727,0.31874,0.18623,1.45102,1.16764,1.19285,0.0085645,0.0085645,0.0085645
31,7096.43,1.5529,1.27437,1.23203,0.41697,0.32929,0.32671,0.18979,1.45455,1.16045,1.19228,0.008515,0.008515,0.008515
32,7339.06,1.54094,1.25896,1.22007,0.41955,0.31971,0.32149,0.18551,1.45816,1.16405,1.19473,0.0084655,0.0084655,0.0084655
33,8398.36,1.53786,1.25235,1.22216,0.42176,0.33739,0.33023,0.19249,1.44838,1.14922,1.18856,0.008416,0.008416,0.008416
34,8668.54,1.53756,1.24806,1.22427,0.42267,0.32678,0.33163,0.19381,1.44742,1.146,1.18764,0.0083665,0.0083665,0.0083665
35,8865.31,1.52413,1.23745,1.21732,0.42944,0.33546,0.33512,0.19531,1.44187,1.13617,1.18579,0.008317,0.008317,0.008317
36,9102.49,1.5199,1.22756,1.21595,0.4408,0.34245,0.33973,0.19822,1.43203,1.12995,1.1823,0.0082675,0.0082675,0.0082675
37,10722.2,1.51719,1.22568,1.21091,0.44283,0.33352,0.33702,0.19744,1.43207,1.13091,1.17846,0.008218,0.008218,0.008218
38,10923.4,1.50738,1.2113,1.21004,0.43306,0.34108,0.34113,0.20079,1.42884,1.12159,1.17759,0.0081685,0.0081685,0.0081685
