epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.9629,4.47895,4.0831,2.64973,0.10652,0.01255,0.00758,0.00177,3.83481,3.83519,1.98911,0.0700371,0.00332921,0.00332921
2,181.86,3.41233,3.19645,1.767,0.03455,0.08397,0.03361,0.01311,2.90614,2.58298,1.48392,0.0399711,0.00659659,0.00659659
3,271.014,2.81241,2.64095,1.49605,0.08345,0.07886,0.05252,0.02289,2.43284,2.14294,1.36276,0.00983916,0.00979796,0.00979796
4,368.659,2.51913,2.35633,1.37953,0.14809,0.12392,0.07514,0.03443,2.23993,2.01,1.26616,0.009703,0.009703,0.009703
5,467.666,2.35251,2.17626,1.30999,0.23301,0.10453,0.08228,0.03881,2.16405,1.89493,1.23244,0.009604,0.009604,0.009604
6,564.38,2.23714,2.05527,1.27009,0.25647,0.12358,0.09096,0.04361,2.07899,1.80023,1.20907,0.009505,0.009505,0.009505
7,663.077,2.16158,1.97566,1.24008,0.26374,0.12931,0.0988,0.0476,2.01985,1.73955,1.18275,0.009406,0.009406,0.009406
8,760.934,2.09547,1.90358,1.21627,0.16843,0.1429,0.10872,0.05345,1.94063,1.63972,1.15925,0.009307,0.009307,0.009307
9,859.817,2.04853,1.84432,1.1911,0.18143,0.1453,0.11521,0.0565,1.93477,1.62842,1.14609,0.009208,0.009208,0.009208
10,957.526,2.01739,1.79963,1.18146,0.17648,0.15376,0.11526,0.05781,1.92966,1.6252,1.12884,0.009109,0.009109,0.009109
11,1055.09,1.98285,1.76,1.16974,0.20677,0.1581,0.12553,0.0643,1.85116,1.5579,1.11203,0.00901,0.00901,0.00901
12,1152.95,1.96031,1.72391,1.15469,0.20456,0.15639,0.12648,0.06534,1.85345,1.52104,1.11245,0.008911,0.008911,0.008911
13,1250.08,1.94554,1.70726,1.15335,0.19995,0.15378,0.12479,0.06366,1.86244,1.53331,1.11247,0.008812,0.008812,0.008812
14,1345.01,1.91462,1.66819,1.13888,0.24166,0.16554,0.13727,0.07171,1.8018,1.50629,1.09966,0.008713,0.008713,0.008713
15,1434.9,1.90948,1.65026,1.13476,0.22006,0.17218,0.14152,0.07396,1.78405,1.44973,1.08688,0.008614,0.008614,0.008614
16,1543.74,1.88635,1.63249,1.12947,0.23761,0.17327,0.14453,0.07539,1.79428,1.46551,1.07802,0.008515,0.008515,0.008515
17,1654.94,1.89235,1.62598,1.12015,0.24057,0.17589,0.1508,0.07864,1.78112,1.43659,1.07542,0.008416,0.008416,0.008416
18,1766.65,1.89828,1.62868,1.11399,0.21341,0.1806,0.14995,0.07732,1.78705,1.46828,1.07802,0.008317,0.008317,0.008317
19,1877.18,1.87341,1.60601,1.10773,0.24498,0.18254,0.15742,0.08222,1.77577,1.41348,1.06524,0.008218,0.008218,0.008218
20,1986.7,1.86534,1.58301,1.10739,0.23561,0.18403,0.15547,0.08221,1.76566,1.41551,1.05961,0.008119,0.008119,0.008119
21,2094.73,1.85778,1.57843,1.0981,0.24612,0.18946,0.16367,0.08648,1.76073,1.40783,1.05933,0.00802,0.00802,0.00802
22,2202.69,1.85828,1.57488,1.09825,0.25914,0.18746,0.16717,0.0879,1.74399,1.40825,1.05833,0.007921,0.007921,0.007921
23,2307.79,nan,nan,nan,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.007822,0.007822,0.007822
24,2402.14,1.83896,1.55361,1.08805,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.007723,0.007723,0.007723
25,2497.34,1.83443,1.54002,1.08493,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.007624,0.007624,0.007624
26,2591.83,1.81825,1.52535,1.08197,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.007525,0.007525,0.007525
27,2681.58,1.81129,1.51912,1.07803,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.007426,0.007426,0.007426
28,2775.78,1.81397,1.50722,1.07434,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.007327,0.007327,0.007327
29,2874.13,1.80663,1.5074,1.07171,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.007228,0.007228,0.007228
30,2971.34,1.78465,1.48931,1.06778,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.007129,0.007129,0.007129
31,3067.74,1.79732,1.49581,1.06918,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.00703,0.00703,0.00703
32,3163.45,1.78066,1.48088,1.05907,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.006931,0.006931,0.006931
33,3259.38,1.77975,1.47347,1.06197,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.006832,0.006832,0.006832
34,3355.09,1.77856,1.47291,1.06125,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.006733,0.006733,0.006733
35,3453.49,1.7656,1.45791,1.05859,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.006634,0.006634,0.006634
36,3548.8,1.7571,1.44807,1.05684,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.006535,0.006535,0.006535
37,3644.52,1.7547,1.44873,1.05293,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.006436,0.006436,0.006436
38,3739.88,1.74799,1.43174,1.05262,0.25914,0.18746,0.16717,0.0879,nan,nan,nan,0.006337,0.006337,0.006337
