epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3785,4.77249,4.58418,3.26154,0.21808,0.02259,0.01394,0.0046,3.48407,3.25218,1.96857,0.0700371,0.00332921,0.00332921
2,169.84,3.06093,2.84364,1.68444,0.04665,0.11543,0.05271,0.02006,2.72542,2.30183,1.41224,0.0399711,0.00659659,0.00659659
3,253.597,2.50304,2.30281,1.40026,0.19618,0.09891,0.069,0.03223,2.22054,1.88145,1.28083,0.00983916,0.00979796,0.00979796
4,332.855,2.26209,2.064,1.29584,0.2355,0.1384,0.09898,0.04715,2.02621,1.70781,1.19751,0.009703,0.009703,0.009703
5,412.544,2.11973,1.89552,1.23342,0.25398,0.14639,0.10832,0.05403,1.92927,1.62569,1.14837,0.009604,0.009604,0.009604
6,494.876,2.01057,1.77956,1.1975,0.19771,0.16441,0.12329,0.06258,1.86792,1.5848,1.12894,0.009505,0.009505,0.009505
7,576.28,1.94869,1.71127,1.17465,0.21642,0.17512,0.14074,0.07221,1.80624,1.51727,1.11523,0.009406,0.009406,0.009406
8,654.923,1.88916,1.64374,1.154,0.2149,0.18329,0.14607,0.07467,1.76906,1.42624,1.10589,0.009307,0.009307,0.009307
9,740.315,1.8549,1.59656,1.13777,0.23343,0.19624,0.15701,0.08129,1.73098,1.39556,1.08325,0.009208,0.009208,0.009208
1,94.2027,4.78608,4.59843,3.2832,0.01549,0.01909,0.00961,0.00274,3.57087,3.29517,2.06367,0.0700371,0.00332921,0.00332921
2,186.357,3.07455,2.86068,1.6993,0.3454,0.01843,0.01978,0.00654,3.62397,2.97061,1.60597,0.0399711,0.00659659,0.00659659
3,266.974,2.51012,2.31163,1.40435,0.22605,0.11311,0.07515,0.0348,2.18641,1.83524,1.27232,0.00983916,0.00979796,0.00979796
4,345.8,2.2609,2.05676,1.29476,0.23158,0.13024,0.09518,0.04542,2.09263,1.75936,1.21592,0.009703,0.009703,0.009703
5,428.718,2.12103,1.89325,1.23389,0.27018,0.15527,0.11917,0.05899,1.91127,1.59474,1.14577,0.009604,0.009604,0.009604
6,511.491,2.01994,1.77663,1.19878,0.18432,0.15588,0.11693,0.05968,1.89296,1.60611,1.1306,0.009505,0.009505,0.009505
7,591.598,1.95356,1.71349,1.17562,0.224,0.16457,0.13255,0.06651,1.86244,1.53463,1.14085,0.009406,0.009406,0.009406
8,668.427,1.89809,1.64579,1.15694,0.20692,0.18844,0.14488,0.07559,1.74877,1.44006,1.10106,0.009307,0.009307,0.009307
9,745.544,1.86142,1.5992,1.13945,0.22422,0.19529,0.15511,0.08094,1.72335,1.38749,1.08141,0.009208,0.009208,0.009208
10,825.286,1.83486,1.56128,1.13118,0.2224,0.19457,0.15665,0.08145,1.72156,1.38328,1.07894,0.009109,0.009109,0.009109
11,904.774,1.80435,1.53189,1.12367,0.23499,0.20523,0.1693,0.08916,1.67903,1.35565,1.06664,0.00901,0.00901,0.00901
12,981.9,1.78373,1.49857,1.10971,0.25548,0.20583,0.17616,0.09082,1.67129,1.32101,1.06537,0.008911,0.008911,0.008911
13,1059.9,1.7704,1.48078,1.11131,0.26037,0.21515,0.18263,0.09778,1.6478,1.30997,1.05798,0.008812,0.008812,0.008812
14,1140.35,1.73905,1.44768,1.09647,0.27308,0.21336,0.185,0.09951,1.61952,1.28179,1.04934,0.008713,0.008713,0.008713
