epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.771,4.74016,4.44679,3.22869,0.32229,0.02363,0.01347,0.00396,3.51085,3.19929,2.00215,0.0700741,0.0033251,0.0033251
2,284.957,2.99775,2.77113,1.67987,0.04178,0.09912,0.03895,0.0152,2.76729,2.3971,1.47889,0.0400082,0.00659252,0.00659252
3,421.262,2.48067,2.26107,1.38856,0.20936,0.12561,0.07839,0.03552,2.17296,1.92541,1.24161,0.00987624,0.00979393,0.00979393
4,558.746,2.21985,2.00106,1.27552,0.25687,0.14166,0.10031,0.04705,2.00885,1.76615,1.17918,0.009703,0.009703,0.009703
5,691.912,2.05537,1.82544,1.21562,0.29745,0.1548,0.11879,0.05925,1.92078,1.58641,1.15547,0.009604,0.009604,0.009604
6,827.162,1.96542,1.71104,1.17736,0.20938,0.16357,0.12,0.06178,1.90991,1.56036,1.12666,0.009505,0.009505,0.009505
7,961.681,1.89643,1.63263,1.1564,0.21999,0.18213,0.1488,0.07666,1.76631,1.43147,1.09547,0.009406,0.009406,0.009406
8,1097,1.84632,1.57384,1.13668,0.23662,0.19008,0.15648,0.08183,1.71434,1.41014,1.08126,0.009307,0.009307,0.009307
9,1230.2,1.80767,1.53619,1.12525,0.26132,0.19702,0.16269,0.08471,1.70543,1.38087,1.07263,0.009208,0.009208,0.009208
10,1363.28,1.77523,1.48781,1.11473,0.26034,0.21563,0.17735,0.09339,1.66726,1.34009,1.0637,0.009109,0.009109,0.009109
11,1500.22,1.75053,1.44939,1.0997,0.25794,0.21409,0.18081,0.09613,1.65078,1.32371,1.0579,0.00901,0.00901,0.00901
12,1635.92,1.7311,1.43136,1.0975,0.25817,0.22201,0.18043,0.09592,1.63665,1.32157,1.04997,0.008911,0.008911,0.008911
13,1768.94,1.70351,1.39843,1.0904,0.27844,0.22482,0.19797,0.10546,1.61371,1.25865,1.04038,0.008812,0.008812,0.008812
14,1906.26,1.69013,1.37905,1.08295,0.27756,0.22781,0.19939,0.10731,1.60001,1.27148,1.03565,0.008713,0.008713,0.008713
15,2038.92,1.67572,1.3565,1.07423,0.29892,0.22661,0.20795,0.11221,1.58519,1.23877,1.03854,0.008614,0.008614,0.008614
16,2171.19,1.65997,1.33974,1.07048,0.29124,0.23792,0.21285,0.11339,1.58105,1.2219,1.03061,0.008515,0.008515,0.008515
17,2307,1.63946,1.32211,1.06773,0.28594,0.23219,0.20561,0.11084,1.56717,1.2217,1.02799,0.008416,0.008416,0.008416
18,2442.36,1.63522,1.31308,1.06665,0.2945,0.23595,0.21724,0.11591,1.55168,1.20931,1.02803,0.008317,0.008317,0.008317
