epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.24,4.27314,4.3093,3.24005,0.01914,0.02085,0.00815,0.00252,3.48697,3.61627,2.56284,0.0700741,0.0033251,0.0033251
2,282.581,2.88039,2.96682,2.08709,0.05741,0.13606,0.06252,0.02734,2.42924,2.37529,1.78467,0.0400082,0.00659252,0.00659252
3,409.456,2.42926,2.5085,1.7663,0.21074,0.12313,0.08336,0.03901,2.21209,2.12302,1.65198,0.00987624,0.00979393,0.00979393
4,534.516,2.21913,2.27212,1.62231,0.23759,0.14708,0.11022,0.05447,2.04247,1.93605,1.5301,0.009703,0.009703,0.009703
5,655.601,2.08491,2.08878,1.54178,0.20443,0.17522,0.12418,0.06366,1.94869,1.82216,1.48559,0.009604,0.009604,0.009604
6,781.233,2.01111,1.95441,1.49042,0.2943,0.17041,0.13991,0.0722,1.92943,1.76712,1.43597,0.009505,0.009505,0.009505
7,899.414,1.94358,1.85665,1.45676,0.25807,0.17909,0.15852,0.08273,1.85054,1.67412,1.40148,0.009406,0.009406,0.009406
8,1021.67,1.89569,1.78977,1.42556,0.25608,0.18634,0.15918,0.08395,1.82154,1.67005,1.38731,0.009307,0.009307,0.009307
9,1144.24,1.86612,1.7401,1.41025,0.23985,0.20258,0.16601,0.08953,1.795,1.60329,1.36461,0.009208,0.009208,0.009208
10,1262.72,1.83518,1.68492,1.39213,0.28231,0.21912,0.19652,0.10805,1.74565,1.54398,1.35043,0.009109,0.009109,0.009109
11,1386.51,1.81016,1.64568,1.36974,0.27226,0.2286,0.19929,0.11124,1.72822,1.528,1.3452,0.00901,0.00901,0.00901
12,1509.95,1.78948,1.62145,1.36337,0.28515,0.23095,0.2035,0.11149,1.72601,1.4901,1.3316,0.008911,0.008911,0.008911
13,1630.02,1.76363,1.58359,1.35289,0.29024,0.23571,0.21083,0.1169,1.68685,1.46358,1.31711,0.008812,0.008812,0.008812
14,1756.21,1.74942,1.56216,1.34172,0.31748,0.23664,0.22473,0.12535,1.69192,1.44292,1.31884,0.008713,0.008713,0.008713
15,1878.41,1.73603,1.53172,1.32714,0.33002,0.23887,0.22814,0.12942,1.65194,1.42507,1.29856,0.008614,0.008614,0.008614
16,2003.58,1.72017,1.51122,1.31936,0.33528,0.25058,0.23407,0.13175,1.65196,1.40869,1.29402,0.008515,0.008515,0.008515
17,2131.53,1.70525,1.49255,1.31627,0.34506,0.25365,0.24305,0.13828,1.63606,1.37256,1.28907,0.008416,0.008416,0.008416
18,2261.91,1.69874,1.47875,1.31387,0.35516,0.25396,0.24366,0.1383,1.63808,1.40192,1.28863,0.008317,0.008317,0.008317
19,2394.16,1.68518,1.45782,1.30262,0.35563,0.26408,0.25171,0.14233,1.61716,1.35147,1.2823,0.008218,0.008218,0.008218
20,2524.95,1.68042,1.45102,1.30017,0.36115,0.26783,0.25968,0.14849,1.6004,1.33314,1.26702,0.008119,0.008119,0.008119
21,2657.94,1.6688,1.43435,1.29742,0.36546,0.26594,0.25491,0.14505,1.60401,1.33391,1.27027,0.00802,0.00802,0.00802
22,2789.82,1.65529,1.41504,1.29081,0.37787,0.26839,0.26212,0.14949,1.58469,1.32484,1.26081,0.007921,0.007921,0.007921
23,2921.94,1.64868,1.40461,1.2815,0.36474,0.27229,0.26333,0.1515,1.57827,1.30335,1.25348,0.007822,0.007822,0.007822
24,3053.58,1.63465,1.39031,1.27923,0.38456,0.27788,0.27217,0.15725,1.5673,1.29324,1.25224,0.007723,0.007723,0.007723
25,3182.18,1.62561,1.36895,1.27326,0.35203,0.28639,0.27354,0.15645,1.56365,1.29699,1.24969,0.007624,0.007624,0.007624
26,3313.36,1.62087,1.36622,1.27028,0.39143,0.2804,0.27792,0.16128,1.56582,1.28826,1.24797,0.007525,0.007525,0.007525
27,3439.96,1.62313,1.35666,1.26703,0.37589,0.28826,0.2793,0.15971,1.56775,1.28065,1.24515,0.007426,0.007426,0.007426
28,3571.22,1.61281,1.3464,1.26327,0.38336,0.28219,0.27717,0.16062,1.56015,1.27829,1.24454,0.007327,0.007327,0.007327
29,3704.56,1.60126,1.33382,1.25809,0.37957,0.29814,0.2879,0.16706,1.53439,1.25528,1.23361,0.007228,0.007228,0.007228
30,3836.83,1.59578,1.32473,1.25611,0.4024,0.29492,0.289,0.16686,1.54526,1.25281,1.23613,0.007129,0.007129,0.007129
31,3968.16,1.5922,1.32456,1.25397,0.37704,0.29785,0.29061,0.16746,1.53852,1.25263,1.23167,0.00703,0.00703,0.00703
32,4098.33,1.58821,1.31409,1.25261,0.39738,0.30362,0.29804,0.17292,1.52492,1.23683,1.22704,0.006931,0.006931,0.006931
33,4230.83,1.58222,1.30481,1.25376,0.3942,0.30413,0.299,0.17249,1.52562,1.23431,1.22801,0.006832,0.006832,0.006832
34,4360.48,1.57954,1.29455,1.24274,0.40137,0.30876,0.30638,0.17762,1.52368,1.21485,1.22593,0.006733,0.006733,0.006733
35,4494.56,1.57099,1.28567,1.24128,0.41093,0.30746,0.30218,0.17559,1.51178,1.22286,1.21994,0.006634,0.006634,0.006634
36,4628.8,1.56762,1.28138,1.24208,0.40864,0.31047,0.3036,0.17534,1.51105,1.21728,1.21975,0.006535,0.006535,0.006535
37,4761.12,1.56065,1.27168,1.23227,0.40047,0.31436,0.30703,0.17914,1.51228,1.20758,1.2182,0.006436,0.006436,0.006436
38,4893.37,1.56029,1.26933,1.23464,0.40175,0.3171,0.31036,0.17968,1.50693,1.20538,1.2156,0.006337,0.006337,0.006337
39,5024.81,1.55506,1.26368,1.23175,0.41326,0.31864,0.31525,0.1832,1.50675,1.20081,1.21503,0.006238,0.006238,0.006238
40,5158.73,1.55291,1.25471,1.23456,0.41755,0.31687,0.3132,0.18152,1.50138,1.19737,1.21448,0.006139,0.006139,0.006139
41,5291.51,1.54421,1.25245,1.22745,0.42353,0.31296,0.31634,0.18338,1.50151,1.1967,1.21237,0.00604,0.00604,0.00604
42,5428.72,1.54306,1.24288,1.22641,0.41277,0.32534,0.32007,0.1866,1.49478,1.19372,1.20865,0.005941,0.005941,0.005941
43,5565.01,1.53684,1.23586,1.21783,0.42108,0.31979,0.31828,0.18532,1.49077,1.1877,1.20714,0.005842,0.005842,0.005842
44,5699.3,1.53099,1.23055,1.22088,0.41623,0.33128,0.32548,0.18873,1.48984,1.18434,1.20643,0.005743,0.005743,0.005743
45,5831.68,1.53763,1.23233,1.22368,0.43408,0.3224,0.32653,0.18966,1.48584,1.17518,1.20534,0.005644,0.005644,0.005644
46,5964.73,1.5303,1.22635,1.21923,0.42783,0.3236,0.3253,0.19012,1.49125,1.17712,1.20672,0.005545,0.005545,0.005545
47,6094.71,1.52997,1.22383,1.21689,0.42649,0.32892,0.32878,0.19088,1.48249,1.16619,1.2033,0.005446,0.005446,0.005446
48,6230.16,1.52185,1.20947,1.21392,0.43342,0.32593,0.32999,0.19184,1.47854,1.1664,1.20144,0.005347,0.005347,0.005347
49,6359.87,1.51894,1.2134,1.21769,0.41555,0.33138,0.32735,0.19097,1.47668,1.1657,1.19992,0.005248,0.005248,0.005248
50,6488.15,1.52337,1.20724,1.21317,0.42587,0.33432,0.33069,0.19249,1.47666,1.16347,1.19894,0.005149,0.005149,0.005149
51,6619.88,1.51363,1.2021,1.21223,0.4294,0.33112,0.32978,0.19198,1.47814,1.16006,1.20013,0.00505,0.00505,0.00505
52,6751.11,1.5137,1.20207,1.21242,0.42772,0.33889,0.33445,0.19514,1.47356,1.15788,1.19732,0.004951,0.004951,0.004951
53,6876.72,1.50996,1.19336,1.21161,0.44249,0.33426,0.33859,0.1974,1.47079,1.15577,1.19516,0.004852,0.004852,0.004852
54,7000.77,1.5096,1.18901,1.20785,0.43662,0.33419,0.3347,0.19596,1.47137,1.15662,1.19607,0.004753,0.004753,0.004753
