epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.579,4.30449,4.44454,3.34453,0.12775,0.0295,0.01681,0.00546,3.22548,3.4487,2.42405,0.0700741,0.0033251,0.0033251
2,306.244,2.82903,2.92291,2.07736,0.07423,0.12937,0.06554,0.028,2.47357,2.41004,1.82259,0.0400082,0.00659252,0.00659252
3,441.302,2.40712,2.46936,1.7583,0.02644,0.09055,0.02926,0.01176,2.94962,3.05243,2.01122,0.00987624,0.00979393,0.00979393
4,581.773,2.17412,2.20374,1.60243,0.36249,0.15106,0.11729,0.0593,1.97507,1.88022,1.50448,0.009703,0.009703,0.009703
5,717.243,2.02851,2.00542,1.51339,0.1894,0.1804,0.1378,0.07218,1.87746,1.75354,1.43733,0.009604,0.009604,0.009604
6,852.051,1.9464,1.86791,1.45614,0.22251,0.1944,0.16327,0.08769,1.8094,1.64485,1.38631,0.009505,0.009505,0.009505
7,989.742,1.87284,1.7672,1.41701,0.23493,0.20452,0.17419,0.09283,1.77821,1.59235,1.36399,0.009406,0.009406,0.009406
8,1124.53,1.82245,1.69085,1.38473,0.26887,0.21045,0.18771,0.10332,1.73458,1.54114,1.34013,0.009307,0.009307,0.009307
9,1261.3,1.78762,1.63964,1.36609,0.2432,0.22094,0.1823,0.09872,1.73038,1.54251,1.32721,0.009208,0.009208,0.009208
10,1394.49,1.75604,1.57926,1.34735,0.28503,0.21637,0.19469,0.10983,1.70022,1.51387,1.32116,0.009109,0.009109,0.009109
11,1533.96,1.72824,1.53423,1.32419,0.30767,0.2639,0.23396,0.13176,1.62865,1.38635,1.28668,0.00901,0.00901,0.00901
12,1668.58,1.70534,1.51021,1.31737,0.34459,0.25765,0.23754,0.13498,1.60867,1.39718,1.27663,0.008911,0.008911,0.008911
13,1807.14,1.68144,1.46795,1.30574,0.34931,0.26668,0.24795,0.14056,1.60274,1.34483,1.26569,0.008812,0.008812,0.008812
14,1946.09,1.66696,1.4468,1.29564,0.3476,0.27129,0.25594,0.1464,1.59599,1.33841,1.26284,0.008713,0.008713,0.008713
15,2086.61,1.65098,1.41416,1.27973,0.34373,0.26315,0.25781,0.14945,1.56793,1.31624,1.25057,0.008614,0.008614,0.008614
16,2221.9,1.63653,1.39299,1.27291,0.36426,0.2847,0.27096,0.15615,1.5655,1.28779,1.24705,0.008515,0.008515,0.008515
17,2356.96,1.61872,1.3721,1.26882,0.39445,0.28305,0.28008,0.16086,1.54955,1.27035,1.24197,0.008416,0.008416,0.008416
18,2491.8,1.61254,1.3592,1.26594,0.3716,0.28882,0.28086,0.16322,1.53713,1.27761,1.23523,0.008317,0.008317,0.008317
19,2626.73,1.60015,1.33857,1.25549,0.40512,0.2977,0.29611,0.17067,1.5235,1.23172,1.22684,0.008218,0.008218,0.008218
20,2762.22,1.59489,1.33134,1.25233,0.40708,0.31046,0.30559,0.17856,1.51459,1.22429,1.21932,0.008119,0.008119,0.008119
21,2898.92,1.5841,1.31382,1.24951,0.38163,0.31209,0.2973,0.17331,1.51014,1.22949,1.21676,0.00802,0.00802,0.00802
22,3033.57,1.56828,1.29509,1.24344,0.4,0.31994,0.31279,0.18256,1.49464,1.196,1.2109,0.007921,0.007921,0.007921
23,3168.37,1.56374,1.28383,1.2338,0.41037,0.31871,0.31354,0.18182,1.49986,1.20168,1.2108,0.007822,0.007822,0.007822
24,3303.65,1.5509,1.27211,1.23243,0.42147,0.31593,0.31387,0.18219,1.48974,1.19029,1.20643,0.007723,0.007723,0.007723
25,3439.7,1.54065,1.24975,1.22652,0.42335,0.32283,0.3243,0.189,1.47967,1.18238,1.20092,0.007624,0.007624,0.007624
26,3575.08,1.53483,1.24899,1.22223,0.42684,0.31605,0.32086,0.18775,1.47987,1.18642,1.20224,0.007525,0.007525,0.007525
27,3713.29,1.53643,1.2366,1.21917,0.43821,0.32754,0.33203,0.19456,1.4727,1.1612,1.19608,0.007426,0.007426,0.007426
28,3848.57,1.52765,1.22778,1.21601,0.42794,0.3247,0.32804,0.19348,1.47277,1.16908,1.19456,0.007327,0.007327,0.007327
29,3985.33,1.51673,1.21573,1.21185,0.44749,0.32661,0.33071,0.1949,1.459,1.15781,1.19112,0.007228,0.007228,0.007228
30,4121.56,1.51154,1.20796,1.20898,0.44875,0.33302,0.33993,0.19995,1.45322,1.14271,1.18849,0.007129,0.007129,0.007129
31,4256.02,1.5046,1.20618,1.20615,0.45067,0.33062,0.33854,0.20026,1.45312,1.14648,1.18758,0.00703,0.00703,0.00703
32,4391.2,1.50178,1.19544,1.20423,0.44139,0.34028,0.34106,0.20053,1.45263,1.1477,1.18559,0.006931,0.006931,0.006931
33,4527.28,1.49842,1.18786,1.20711,0.4426,0.34504,0.34398,0.20266,1.44233,1.12998,1.18143,0.006832,0.006832,0.006832
34,4661.84,1.49226,1.17746,1.19567,0.46083,0.34431,0.34999,0.20655,1.43919,1.11568,1.18132,0.006733,0.006733,0.006733
35,4795.2,1.48547,1.16801,1.19499,0.4573,0.34682,0.35378,0.20898,1.43639,1.11965,1.17871,0.006634,0.006634,0.006634
36,4929.99,1.48255,1.16188,1.19523,0.45372,0.35228,0.35492,0.2094,1.43216,1.11281,1.177,0.006535,0.006535,0.006535
37,5063.33,1.47736,1.15742,1.18737,0.45893,0.35072,0.3587,0.21236,1.43027,1.10571,1.17585,0.006436,0.006436,0.006436
38,5200.82,1.47648,1.15186,1.18908,0.47978,0.3494,0.35839,0.21165,1.42874,1.11166,1.17418,0.006337,0.006337,0.006337
39,5336.17,1.47109,1.14478,1.18644,0.46298,0.3585,0.36283,0.2157,1.42465,1.10338,1.17486,0.006238,0.006238,0.006238
40,5474.91,1.46748,1.13878,1.18798,0.46658,0.35929,0.36557,0.21493,1.42102,1.09723,1.17083,0.006139,0.006139,0.006139
41,5608.87,1.45935,1.13417,1.18202,0.47633,0.35675,0.36732,0.21741,1.42078,1.08842,1.1697,0.00604,0.00604,0.00604
42,5745.06,1.45924,1.12743,1.18112,0.47432,0.35439,0.3634,0.21642,1.42528,1.09517,1.17204,0.005941,0.005941,0.005941
43,5881.83,1.45201,1.12217,1.17304,0.4709,0.36262,0.36756,0.21829,1.40926,1.08619,1.16639,0.005842,0.005842,0.005842
44,6015.99,1.44969,1.11576,1.17688,0.46946,0.36674,0.37263,0.22138,1.41057,1.08163,1.1653,0.005743,0.005743,0.005743
45,6151.26,1.45499,1.11833,1.17855,0.47856,0.36235,0.37209,0.22071,1.41035,1.07647,1.16486,0.005644,0.005644,0.005644
46,6285.61,1.44703,1.11129,1.17496,0.47196,0.36225,0.37183,0.22142,1.41169,1.07764,1.16565,0.005545,0.005545,0.005545
47,6418.26,1.44508,1.10702,1.17206,0.46664,0.36713,0.37313,0.22206,1.40386,1.07355,1.16253,0.005446,0.005446,0.005446
48,6554.78,1.4386,1.09542,1.16955,0.47686,0.36766,0.37616,0.22438,1.40383,1.06752,1.16046,0.005347,0.005347,0.005347
