epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.637,4.29312,4.36275,3.39765,0.01787,0.03137,0.0105,0.00306,3.44491,4.95592,2.76798,0.0700741,0.0033251,0.0033251
2,300.284,2.82945,2.88858,2.08017,0.07003,0.11967,0.06532,0.02791,2.37975,2.29883,1.78903,0.0400082,0.00659252,0.00659252
3,430.522,2.34478,2.39843,1.71767,0.21545,0.14652,0.09202,0.04458,2.16779,2.0796,1.59831,0.00987624,0.00979393,0.00979393
4,557.214,2.13983,2.16411,1.57678,0.26341,0.13919,0.10999,0.0549,2.07053,1.91152,1.52141,0.009703,0.009703,0.009703
5,682.686,2.01123,1.98381,1.50007,0.20826,0.18232,0.13468,0.07161,1.89528,1.75908,1.4394,0.009604,0.009604,0.009604
6,809.003,1.93893,1.85503,1.45025,0.19948,0.19216,0.15106,0.08064,1.86362,1.70444,1.40176,0.009505,0.009505,0.009505
7,935.738,1.87285,1.76309,1.4172,0.22689,0.2142,0.17708,0.09452,1.77975,1.59742,1.36861,0.009406,0.009406,0.009406
8,1061.58,1.82684,1.69394,1.38643,0.3629,0.20979,0.17739,0.09687,1.75473,1.58921,1.3526,0.009307,0.009307,0.009307
9,1189.73,1.79295,1.64701,1.36863,0.24688,0.23114,0.18398,0.09848,1.75486,1.5325,1.33786,0.009208,0.009208,0.009208
10,1321.61,1.76453,1.5946,1.35083,0.29379,0.24995,0.2186,0.12295,1.67902,1.44943,1.31253,0.009109,0.009109,0.009109
11,1457.9,1.7377,1.55175,1.32904,0.29786,0.25567,0.22437,0.12765,1.64287,1.40638,1.29328,0.00901,0.00901,0.00901
12,1593.58,1.71722,1.52976,1.32339,0.32409,0.25623,0.23061,0.1301,1.63055,1.41638,1.28888,0.008911,0.008911,0.008911
13,1726,1.69366,1.49107,1.31307,0.31987,0.2642,0.23998,0.1338,1.6456,1.36859,1.28629,0.008812,0.008812,0.008812
14,1866.68,1.68156,1.47038,1.30388,0.33817,0.268,0.25078,0.1401,1.61427,1.34873,1.27444,0.008713,0.008713,0.008713
15,2004.07,1.66589,1.43921,1.28797,0.35067,0.27998,0.26204,0.14875,1.59231,1.32283,1.26357,0.008614,0.008614,0.008614
16,2138.88,1.64817,1.41426,1.28055,0.3544,0.27791,0.26565,0.1508,1.58441,1.30788,1.25703,0.008515,0.008515,0.008515
17,2274.63,1.63419,1.3969,1.2773,0.36223,0.29018,0.26816,0.1523,1.56504,1.29434,1.25176,0.008416,0.008416,0.008416
18,2410.99,1.62562,1.38158,1.27364,0.37216,0.28006,0.27283,0.15642,1.56487,1.29903,1.24481,0.008317,0.008317,0.008317
19,2545.27,1.61332,1.36157,1.26361,0.40121,0.29389,0.28773,0.16442,1.54556,1.2631,1.2396,0.008218,0.008218,0.008218
20,2681.89,1.60867,1.35293,1.26056,0.3922,0.30379,0.29686,0.16979,1.53121,1.25155,1.22867,0.008119,0.008119,0.008119
21,2815.28,1.59825,1.33947,1.25862,0.39125,0.30161,0.29685,0.16983,1.52556,1.24454,1.22703,0.00802,0.00802,0.00802
22,2948.33,1.58423,1.32155,1.25214,0.38043,0.30555,0.29439,0.16924,1.51716,1.23568,1.22109,0.007921,0.007921,0.007921
23,3083.88,1.57783,1.30869,1.24324,0.39893,0.31055,0.30323,0.17455,1.51451,1.22507,1.21904,0.007822,0.007822,0.007822
24,3217.15,1.56464,1.29673,1.2418,0.40076,0.30587,0.3009,0.17409,1.5146,1.22067,1.21921,0.007723,0.007723,0.007723
25,3352.04,1.55509,1.27463,1.23506,0.39692,0.31758,0.306,0.17622,1.50176,1.22194,1.21407,0.007624,0.007624,0.007624
26,3488.16,1.55341,1.27674,1.23321,0.41071,0.3179,0.31082,0.18054,1.49648,1.20645,1.21047,0.007525,0.007525,0.007525
27,3617.65,1.55301,1.26425,1.22951,0.41091,0.32204,0.31521,0.18111,1.48936,1.19311,1.20767,0.007426,0.007426,0.007426
28,3752.72,1.54438,1.25367,1.22655,0.41477,0.32795,0.32122,0.18603,1.47983,1.19403,1.20484,0.007327,0.007327,0.007327
29,3884.45,1.53376,1.24135,1.22235,0.41152,0.33015,0.3251,0.18969,1.47397,1.17792,1.20014,0.007228,0.007228,0.007228
