epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.681,4.18491,4.24634,3.13423,0.2228,0.02487,0.01407,0.00482,3.22325,3.39761,2.36919,0.0700741,0.0033251,0.0033251
2,193.744,2.78074,2.86603,2.0092,0.16198,0.12468,0.06535,0.02804,2.4272,2.3628,1.76862,0.0400521,0.00663646,0.00663646
3,269.72,2.36275,2.4317,1.72511,0.12649,0.14792,0.08947,0.04248,2.16107,2.16818,1.60516,0.0100081,0.00992582,0.00992582
4,342.751,2.14489,2.18378,1.58239,0.23345,0.15369,0.10668,0.05288,2.06617,1.98015,1.51713,0.009901,0.009901,0.009901
5,414.885,2.02312,2.00292,1.50873,0.28833,0.18778,0.13779,0.07274,1.87626,1.80152,1.43253,0.009868,0.009868,0.009868
6,487.55,1.95218,1.87274,1.45743,0.20326,0.18308,0.15203,0.0811,1.85663,1.68231,1.39931,0.009835,0.009835,0.009835
7,557.696,1.88881,1.7776,1.42631,0.24196,0.20372,0.17186,0.0919,1.80135,1.60306,1.37149,0.009802,0.009802,0.009802
8,629.54,1.84299,1.71233,1.39492,0.27256,0.2024,0.17875,0.09644,1.78053,1.58711,1.35895,0.009769,0.009769,0.009769
9,702.65,1.81037,1.66071,1.37752,0.2429,0.21845,0.176,0.09415,1.79223,1.56626,1.34999,0.009736,0.009736,0.009736
10,773.308,1.78026,1.60383,1.36079,0.29662,0.23744,0.21334,0.11819,1.68008,1.46149,1.30905,0.009703,0.009703,0.009703
11,842.792,1.75577,1.56294,1.33813,0.3139,0.25028,0.22175,0.12351,1.65986,1.41982,1.30107,0.00967,0.00967,0.00967
12,913.248,1.73407,1.53954,1.33183,0.30468,0.25503,0.23143,0.12861,1.65066,1.41326,1.29121,0.009637,0.009637,0.009637
13,982.722,1.70905,1.50061,1.32114,0.32258,0.25036,0.22641,0.12415,1.64585,1.40561,1.28725,0.009604,0.009604,0.009604
14,75.0813,1.69939,1.48824,1.31413,0.33512,0.25672,0.24498,0.13807,1.60707,1.36351,1.27414,0.009571,0.009571,0.009571
15,144.211,1.67929,1.4537,1.30041,0.35032,0.26474,0.25381,0.14293,1.58985,1.33524,1.2611,0.009538,0.009538,0.009538
16,214.017,1.6729,1.43886,1.29484,0.35659,0.27648,0.26377,0.14879,1.58252,1.32043,1.25684,0.009505,0.009505,0.009505
17,283.499,1.65219,1.40921,1.28357,0.36851,0.27501,0.26374,0.14822,1.5881,1.31665,1.2546,0.009472,0.009472,0.009472
18,352.804,1.64244,1.39657,1.28292,0.36872,0.28115,0.27087,0.15399,1.5575,1.29235,1.24315,0.009439,0.009439,0.009439
19,422.4,1.63454,1.38068,1.27418,0.38057,0.29469,0.27823,0.15754,1.54625,1.27808,1.23609,0.009406,0.009406,0.009406
20,490.993,1.61814,1.36275,1.27032,0.40629,0.29305,0.28716,0.16395,1.53397,1.26415,1.23145,0.009373,0.009373,0.009373
21,560.725,1.61047,1.34878,1.2628,0.40592,0.28838,0.28504,0.16191,1.54054,1.26888,1.23184,0.00934,0.00934,0.00934
22,630.536,1.60167,1.34489,1.26059,0.35817,0.3037,0.27833,0.15973,1.52486,1.27161,1.22206,0.009307,0.009307,0.009307
23,700.097,1.59563,1.32248,1.25614,0.40329,0.30128,0.29901,0.1709,1.51664,1.24319,1.22256,0.009274,0.009274,0.009274
24,769.794,1.58796,1.30845,1.2451,0.40912,0.31528,0.3061,0.17541,1.50669,1.21824,1.21706,0.009241,0.009241,0.009241
25,839.031,1.58043,1.30823,1.24699,0.40284,0.31492,0.30259,0.17378,1.50519,1.21637,1.21664,0.009208,0.009208,0.009208
26,908.601,1.56803,1.28987,1.24281,0.3998,0.3121,0.30475,0.17447,1.49724,1.21562,1.20958,0.009175,0.009175,0.009175
27,91.9108,1.57746,1.31002,1.2469,0.40293,0.31403,0.30872,0.17831,1.48737,1.20362,1.20981,0.009142,0.009142,0.009142
28,177.272,1.57263,1.30131,1.24117,0.40403,0.3176,0.31118,0.18001,1.48824,1.19827,1.20985,0.009109,0.009109,0.009109
