epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.056,4.59438,4.56582,3.52682,2e-05,0.00027,1e-05,1e-05,5.73797,5.07295,4.37534,0.00330065,0.00330065,0.00330065
2,59.7377,3.11352,2.77057,1.84837,0.35668,0.06049,0.03611,0.01263,2.93198,2.37282,1.59536,0.00661209,0.00661209,0.00661209
3,84.7376,2.5865,2.30109,1.46189,0.29099,0.07126,0.05021,0.0201,2.68065,2.26042,1.40772,0.00990154,0.00990154,0.00990154
4,108.606,2.26019,1.97442,1.29811,0.39265,0.09731,0.07378,0.03269,2.53383,2.19856,1.35563,0.009901,0.009901,0.009901
5,132.423,2.06992,1.77583,1.21872,0.24867,0.11081,0.08796,0.04407,2.22645,2.14179,1.2635,0.009868,0.009868,0.009868
6,156.461,1.96109,1.66082,1.1765,0.20007,0.17122,0.12987,0.06609,1.935,1.63729,1.16242,0.009835,0.009835,0.009835
7,179.656,1.88571,1.57775,1.14985,0.19424,0.16656,0.12917,0.0643,1.95724,1.56093,1.16255,0.009802,0.009802,0.009802
8,203.125,1.83937,1.52661,1.13116,0.29836,0.15904,0.13134,0.06465,1.97664,1.62471,1.16172,0.009769,0.009769,0.009769
9,227.041,1.79228,1.47624,1.11606,0.26137,0.19299,0.16321,0.08283,1.83069,1.42654,1.11769,0.009736,0.009736,0.009736
10,250.733,1.76385,1.44225,1.108,0.2521,0.18557,0.16086,0.08346,1.84962,1.41693,1.11816,0.009703,0.009703,0.009703
11,274.75,1.7448,1.4079,1.09556,0.24274,0.20033,0.16376,0.08761,1.7879,1.47824,1.10155,0.00967,0.00967,0.00967
12,299.867,1.7245,1.38832,1.08957,0.24319,0.19501,0.17186,0.08891,1.78609,1.39714,1.09826,0.009637,0.009637,0.009637
13,323.503,1.69756,1.36844,1.08345,0.29561,0.21798,0.1926,0.10121,1.6979,1.31269,1.07927,0.009604,0.009604,0.009604
14,347.06,1.69305,1.34784,1.07959,0.28081,0.22136,0.19337,0.10314,1.70344,1.33893,1.07991,0.009571,0.009571,0.009571
15,371.034,1.67693,1.33596,1.07259,0.30521,0.23465,0.2054,0.10816,1.66081,1.26838,1.06483,0.009538,0.009538,0.009538
16,395.091,1.65055,1.31032,1.06587,0.28513,0.2128,0.1959,0.10289,1.68944,1.28698,1.06688,0.009505,0.009505,0.009505
17,418.794,1.6463,1.29559,1.06008,0.32455,0.23379,0.21676,0.11598,1.63928,1.25316,1.05872,0.009472,0.009472,0.009472
18,442.217,1.62537,1.27932,1.05827,0.32332,0.24715,0.22564,0.12132,1.61538,1.21291,1.05088,0.009439,0.009439,0.009439
19,466.169,1.6223,1.27665,1.05998,0.32513,0.24574,0.22487,0.11923,1.63704,1.22117,1.05655,0.009406,0.009406,0.009406
20,489.733,1.61052,1.25957,1.05245,0.33737,0.24326,0.22689,0.12074,1.60973,1.22256,1.04779,0.009373,0.009373,0.009373
21,513.028,1.59239,1.2425,1.05057,0.32626,0.2336,0.21833,0.11737,1.63185,1.23514,1.05195,0.00934,0.00934,0.00934
22,536.11,1.59296,1.23821,1.04617,0.31365,0.25015,0.22798,0.12371,1.61227,1.20354,1.04224,0.009307,0.009307,0.009307
23,559.895,1.59264,1.22898,1.0423,0.33009,0.25757,0.23772,0.12903,1.57897,1.19302,1.03581,0.009274,0.009274,0.009274
24,583.564,1.58057,1.21975,1.04285,0.33592,0.25142,0.23811,0.12904,1.59522,1.19768,1.03635,0.009241,0.009241,0.009241
25,608.335,1.56693,1.20678,1.03845,0.32375,0.25919,0.23634,0.12862,1.58123,1.17335,1.03536,0.009208,0.009208,0.009208
26,631.532,1.56255,1.2035,1.03633,0.34431,0.25511,0.23959,0.13052,1.57219,1.17901,1.03042,0.009175,0.009175,0.009175
27,655.11,1.5609,1.20954,1.04051,0.3607,0.25486,0.2456,0.13378,1.56029,1.17082,1.03269,0.009142,0.009142,0.009142
28,678.288,1.54611,1.18606,1.03217,0.35444,0.26543,0.24691,0.13545,1.55314,1.16224,1.02707,0.009109,0.009109,0.009109
29,701.441,1.54893,1.1926,1.03626,0.33733,0.27066,0.25079,0.1354,1.55226,1.15713,1.02539,0.009076,0.009076,0.009076
30,725.344,1.54269,1.18399,1.03405,0.35574,0.26654,0.25008,0.13673,1.54481,1.14608,1.02565,0.009043,0.009043,0.009043
31,748.689,1.53212,1.17139,1.02637,0.35466,0.26777,0.25385,0.13712,1.54688,1.14415,1.02706,0.00901,0.00901,0.00901
32,772.335,1.53979,1.1699,1.026,0.34294,0.26755,0.25018,0.13524,1.55022,1.14371,1.02342,0.008977,0.008977,0.008977
33,795.016,1.53767,1.16898,1.02819,0.36735,0.27303,0.2565,0.14034,1.53897,1.14185,1.02329,0.008944,0.008944,0.008944
34,817.848,1.53143,1.16753,1.02608,0.35558,0.27141,0.25631,0.13985,1.54122,1.13994,1.02276,0.008911,0.008911,0.008911
35,841.67,1.51897,1.1509,1.01932,0.35817,0.27634,0.26307,0.1437,1.50826,1.11555,1.01487,0.008878,0.008878,0.008878
36,865.732,1.5273,1.15401,1.02522,0.35076,0.26869,0.2568,0.13964,1.52368,1.13755,1.01947,0.008845,0.008845,0.008845
37,899.213,1.5215,1.15594,1.01996,0.3713,0.27942,0.26505,0.14433,1.51558,1.11569,1.01521,0.008812,0.008812,0.008812
38,923.021,1.51009,1.13757,1.02049,0.37019,0.28034,0.26482,0.14406,1.50956,1.12041,1.01261,0.008779,0.008779,0.008779
39,947.353,1.51035,1.13759,1.0201,0.36984,0.27493,0.2639,0.14548,1.51133,1.10989,1.01951,0.008746,0.008746,0.008746
40,971.539,1.50561,1.13618,1.01728,0.36814,0.28062,0.26619,0.14599,1.50019,1.104,1.01073,0.008713,0.008713,0.008713
41,994.854,1.5005,1.12872,1.01434,0.38969,0.27401,0.26825,0.14739,1.50525,1.10795,1.01267,0.00868,0.00868,0.00868
42,1018.23,1.49433,1.1265,1.01494,0.37879,0.27892,0.2692,0.14828,1.49625,1.10243,1.01172,0.008647,0.008647,0.008647
43,1041.14,1.49347,1.11788,1.01121,0.36306,0.29465,0.2755,0.15087,1.49081,1.09412,1.0089,0.008614,0.008614,0.008614
44,1063.96,1.48501,1.12048,1.01376,0.38237,0.2871,0.27768,0.15397,1.4818,1.09157,1.00804,0.008581,0.008581,0.008581
45,1086.9,1.49045,1.11759,1.01476,0.37719,0.28761,0.27335,0.15029,1.48614,1.08855,1.00713,0.008548,0.008548,0.008548
46,1109.47,1.48704,1.11826,1.01198,0.39515,0.28183,0.27924,0.15485,1.47825,1.08587,1.00382,0.008515,0.008515,0.008515
47,1132.47,1.49041,1.11438,1.00904,0.38673,0.28326,0.27524,0.15159,1.48306,1.0907,1.00625,0.008482,0.008482,0.008482
48,1155.74,1.47649,1.09992,1.0107,0.38513,0.28805,0.27704,0.15297,1.46962,1.08657,1.00343,0.008449,0.008449,0.008449
49,1178.45,1.47854,1.09953,1.00936,0.38924,0.28811,0.2812,0.15503,1.4775,1.08246,1.00493,0.008416,0.008416,0.008416
50,1200.84,1.47889,1.09822,1.00953,0.38616,0.28758,0.28169,0.15566,1.46998,1.0858,1.00255,0.008383,0.008383,0.008383
51,1223.64,1.47141,1.09543,1.00533,0.38585,0.28954,0.28135,0.15417,1.4689,1.07562,0.99927,0.00835,0.00835,0.00835
52,1246.45,1.46968,1.09247,1.00498,0.37832,0.29615,0.28515,0.15907,1.46288,1.06992,1.00134,0.008317,0.008317,0.008317
53,1269.33,1.47391,1.09428,1.00759,0.39138,0.28988,0.2841,0.1569,1.46945,1.07475,1.0018,0.008284,0.008284,0.008284
54,1291.86,1.47131,1.08922,1.00705,0.38841,0.29578,0.28867,0.15982,1.462,1.0671,0.99653,0.008251,0.008251,0.008251
