epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.829,3.78688,3.88266,2.87547,0.164,0.05832,0.03514,0.01315,2.81516,2.79228,2.1084,0.0700741,0.0033251,0.0033251
2,282.641,2.67868,2.79734,1.9377,0.06696,0.0932,0.05563,0.02511,2.5207,2.47434,1.78869,0.0400082,0.00659252,0.00659252
3,412.988,2.38199,2.46985,1.72575,0.1961,0.13254,0.08101,0.0373,2.24293,2.26595,1.63297,0.00987624,0.00979393,0.00979393
4,538.356,2.16347,2.22417,1.58827,0.23546,0.1378,0.10212,0.05098,2.06365,1.97137,1.51889,0.009703,0.009703,0.009703
5,662.444,2.03179,2.03342,1.50809,0.18375,0.17012,0.12873,0.0686,1.888,1.7786,1.44393,0.009604,0.009604,0.009604
6,789.847,1.95337,1.89784,1.45617,0.19973,0.18334,0.14709,0.07706,1.88818,1.71917,1.4074,0.009505,0.009505,0.009505
7,915.109,1.88531,1.805,1.42271,0.2142,0.19655,0.15518,0.0826,1.82608,1.67956,1.38591,0.009406,0.009406,0.009406
8,1038.62,1.83675,1.72912,1.39062,0.25855,0.21572,0.17888,0.09736,1.74417,1.56394,1.34942,0.009307,0.009307,0.009307
9,1165.86,1.80466,1.67951,1.37353,0.24789,0.23497,0.189,0.10224,1.71037,1.52231,1.32221,0.009208,0.009208,0.009208
10,1287.83,1.77307,1.62044,1.35414,0.2844,0.25151,0.2159,0.12051,1.66563,1.47112,1.30968,0.009109,0.009109,0.009109
11,1414.68,1.74579,1.57412,1.33154,0.29668,0.25743,0.22251,0.12385,1.64808,1.42761,1.29372,0.00901,0.00901,0.00901
12,1540.63,1.72689,1.54885,1.32507,0.31113,0.26218,0.23697,0.13271,1.65195,1.40984,1.2907,0.008911,0.008911,0.008911
13,1666.03,1.70136,1.5081,1.31413,0.3126,0.25777,0.22737,0.12688,1.67144,1.40283,1.29448,0.008812,0.008812,0.008812
14,1788.54,1.68678,1.48448,1.3025,0.32689,0.27662,0.25326,0.14239,1.60009,1.34933,1.27129,0.008713,0.008713,0.008713
15,1912.79,1.674,1.45521,1.28918,0.33963,0.29023,0.25853,0.14629,1.59137,1.33709,1.26146,0.008614,0.008614,0.008614
16,2031.92,1.65618,1.43395,1.27988,0.35436,0.27267,0.25713,0.14719,1.57892,1.32838,1.24995,0.008515,0.008515,0.008515
17,2152.98,1.63836,1.41193,1.27598,0.35874,0.27914,0.26621,0.15278,1.57331,1.29793,1.24669,0.008416,0.008416,0.008416
18,2272.78,1.63379,1.40303,1.27447,0.36621,0.29192,0.27891,0.15793,1.55654,1.285,1.24421,0.008317,0.008317,0.008317
19,2393.58,1.62225,1.37861,1.26391,0.38836,0.29806,0.28618,0.16162,1.54795,1.26928,1.2423,0.008218,0.008218,0.008218
20,2515.23,1.61702,1.3739,1.26043,0.36002,0.30066,0.27878,0.15995,1.54878,1.28376,1.23621,0.008119,0.008119,0.008119
21,2636.16,1.60641,1.35902,1.25872,0.35902,0.30708,0.28603,0.16378,1.54,1.27386,1.2325,0.00802,0.00802,0.00802
22,2757.1,1.59163,1.33985,1.25253,0.38132,0.29755,0.29061,0.16575,1.53851,1.24651,1.23018,0.007921,0.007921,0.007921
23,2878.39,1.58725,1.32741,1.24276,0.38547,0.31245,0.29364,0.1688,1.52004,1.24847,1.22132,0.007822,0.007822,0.007822
24,2998.5,1.57487,1.31429,1.24133,0.38131,0.31374,0.29672,0.17121,1.51571,1.2376,1.22153,0.007723,0.007723,0.007723
25,3120.14,1.56357,1.2924,1.23473,0.39718,0.31876,0.30697,0.17767,1.49712,1.22067,1.2109,0.007624,0.007624,0.007624
26,3243.4,1.55956,1.29005,1.23167,0.39132,0.32253,0.30627,0.17736,1.49786,1.21893,1.208,0.007525,0.007525,0.007525
27,3363.93,1.56072,1.28083,1.22852,0.40557,0.32315,0.31335,0.18066,1.49152,1.20273,1.20837,0.007426,0.007426,0.007426
28,3485.27,1.55252,1.27185,1.22541,0.41013,0.32207,0.31128,0.18102,1.48393,1.19909,1.20453,0.007327,0.007327,0.007327
29,3607.03,1.5402,1.25896,1.22064,0.4098,0.32496,0.31666,0.18329,1.48016,1.19379,1.20142,0.007228,0.007228,0.007228
30,3731.21,1.53432,1.25082,1.21823,0.42571,0.32261,0.3198,0.18491,1.4814,1.18682,1.20155,0.007129,0.007129,0.007129
