epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.541,4.04679,4.15763,3.2235,0.23497,0.05978,0.02433,0.00807,3.02649,3.02879,2.24286,0.0700741,0.0033251,0.0033251
2,284.47,2.75312,2.84559,2.01143,0.06262,0.13903,0.0614,0.0256,2.43988,2.42172,1.83214,0.0400082,0.00659252,0.00659252
3,415.987,2.3923,2.46452,1.74631,0.1121,0.12807,0.08386,0.03978,2.21952,2.13836,1.63868,0.00987624,0.00979393,0.00979393
4,547.759,2.18216,2.2182,1.60556,0.26648,0.14838,0.11436,0.05656,2.01065,1.92225,1.52166,0.009703,0.009703,0.009703
5,677.389,2.04808,2.0393,1.52407,0.18928,0.20863,0.14566,0.07502,1.88845,1.76802,1.44419,0.009604,0.009604,0.009604
6,804.473,1.9722,1.90073,1.46835,0.2443,0.19317,0.15482,0.07972,1.91678,1.72457,1.45962,0.009505,0.009505,0.009505
7,935.987,1.90653,1.81038,1.43472,0.217,0.19264,0.1621,0.08623,1.82929,1.68117,1.39269,0.009406,0.009406,0.009406
8,1069.46,1.8574,1.73734,1.40338,0.26267,0.22045,0.19246,0.10357,1.74532,1.55186,1.35471,0.009307,0.009307,0.009307
9,1202.58,1.82705,1.68268,1.38632,0.24742,0.23597,0.18397,0.09826,1.74574,1.55425,1.33851,0.009208,0.009208,0.009208
10,1329.87,1.79414,1.62409,1.36625,0.26064,0.22744,0.19569,0.10784,1.72858,1.52627,1.33726,0.009109,0.009109,0.009109
11,1462.74,1.76757,1.5828,1.34409,0.28817,0.25585,0.21681,0.11943,1.67486,1.43199,1.3104,0.00901,0.00901,0.00901
12,1590.78,1.74619,1.56107,1.33765,0.32196,0.25739,0.23234,0.12832,1.65638,1.41056,1.29833,0.008911,0.008911,0.008911
13,1720.15,1.72295,1.52114,1.32748,0.29963,0.25424,0.22723,0.12528,1.67644,1.40685,1.30201,0.008812,0.008812,0.008812
14,1853.73,1.70861,1.5018,1.31697,0.31866,0.26646,0.24392,0.13551,1.62625,1.37663,1.28181,0.008713,0.008713,0.008713
15,1983.36,1.69422,1.46954,1.3014,0.34384,0.2741,0.25587,0.1449,1.59454,1.35485,1.27158,0.008614,0.008614,0.008614
16,2108.66,1.67841,1.45052,1.29413,0.31723,0.27152,0.24791,0.14016,1.61042,1.35339,1.26831,0.008515,0.008515,0.008515
17,2238.04,1.66155,1.43074,1.29035,0.34905,0.27282,0.25961,0.14634,1.59216,1.33244,1.26444,0.008416,0.008416,0.008416
18,2363.51,1.65549,1.4182,1.28774,0.3588,0.27993,0.26522,0.15238,1.58929,1.32851,1.25728,0.008317,0.008317,0.008317
19,2490.25,1.64111,1.39572,1.27621,0.37723,0.2914,0.28032,0.15754,1.56103,1.28795,1.25207,0.008218,0.008218,0.008218
20,2619.66,1.63632,1.38916,1.27293,0.37605,0.28797,0.27983,0.1597,1.56129,1.29935,1.24392,0.008119,0.008119,0.008119
21,2746.53,1.62684,1.37413,1.27117,0.37092,0.30471,0.28465,0.16425,1.54927,1.28145,1.23642,0.00802,0.00802,0.00802
22,2872.87,1.61064,1.35382,1.26422,0.391,0.30778,0.29596,0.17033,1.53938,1.25541,1.23022,0.007921,0.007921,0.007921
23,2997.63,1.60578,1.34195,1.25435,0.3925,0.30926,0.29497,0.1685,1.52968,1.24919,1.22684,0.007822,0.007822,0.007822
24,3123.73,1.5904,1.32981,1.25226,0.38917,0.31141,0.30139,0.17243,1.5224,1.23735,1.22444,0.007723,0.007723,0.007723
25,3251.51,1.58195,1.30593,1.24606,0.40443,0.31743,0.30774,0.17624,1.51381,1.23201,1.2173,0.007624,0.007624,0.007624
26,3377.38,1.57756,1.30509,1.24279,0.40309,0.31346,0.30603,0.1764,1.50484,1.22585,1.21281,0.007525,0.007525,0.007525
27,3499.99,1.57745,1.29328,1.23891,0.39189,0.32426,0.31089,0.17886,1.50802,1.22167,1.21601,0.007426,0.007426,0.007426
28,3623.11,1.56773,1.28498,1.23561,0.40583,0.32608,0.31505,0.18223,1.49781,1.21517,1.21108,0.007327,0.007327,0.007327
29,3744.1,1.55846,1.27406,1.23145,0.41419,0.32473,0.31455,0.18146,1.49147,1.21234,1.20636,0.007228,0.007228,0.007228
30,3867.14,1.5514,1.2654,1.22796,0.40895,0.33371,0.32115,0.18632,1.4904,1.1952,1.20533,0.007129,0.007129,0.007129
31,3987.45,1.54354,1.26098,1.22492,0.42334,0.33147,0.32429,0.18789,1.47983,1.19307,1.20083,0.00703,0.00703,0.00703
32,4108.51,1.54169,1.25211,1.22316,0.4333,0.33413,0.32568,0.18742,1.49017,1.19268,1.20437,0.006931,0.006931,0.006931
33,4228.68,1.53582,1.2445,1.22526,0.41759,0.34073,0.3289,0.19014,1.47626,1.17416,1.19863,0.006832,0.006832,0.006832
34,4348.63,1.53272,1.23382,1.21423,0.44996,0.33148,0.33526,0.19489,1.47139,1.16621,1.1934,0.006733,0.006733,0.006733
35,4468.91,1.52375,1.22235,1.2118,0.4312,0.34677,0.33581,0.19597,1.46512,1.16732,1.1919,0.006634,0.006634,0.006634
36,4589.49,1.5198,1.21632,1.21303,0.44545,0.33988,0.33877,0.19794,1.45815,1.15681,1.19116,0.006535,0.006535,0.006535
37,4711.59,1.5137,1.20912,1.20426,0.44466,0.34061,0.33836,0.19818,1.47081,1.15811,1.194,0.006436,0.006436,0.006436
38,4831.69,1.51296,1.20502,1.20605,0.45244,0.34614,0.34406,0.20247,1.45513,1.14535,1.18634,0.006337,0.006337,0.006337
39,4954.68,1.50622,1.19866,1.20264,0.44628,0.3469,0.3439,0.20179,1.45606,1.147,1.18718,0.006238,0.006238,0.006238
40,5076.33,1.50324,1.19348,1.20424,0.44766,0.34817,0.34693,0.20229,1.45458,1.14795,1.18584,0.006139,0.006139,0.006139
41,5196.43,1.49546,1.18771,1.19832,0.45058,0.35034,0.35036,0.20437,1.45085,1.13757,1.18439,0.00604,0.00604,0.00604
42,5319.21,1.49631,1.18183,1.19787,0.4467,0.34526,0.34919,0.20422,1.45209,1.1401,1.18298,0.005941,0.005941,0.005941
43,5442.59,1.48822,1.17566,1.18893,0.45649,0.3527,0.35521,0.20698,1.44168,1.12623,1.18005,0.005842,0.005842,0.005842
44,5564.11,1.48472,1.16915,1.19264,0.45972,0.3515,0.35481,0.20736,1.44007,1.12381,1.17694,0.005743,0.005743,0.005743
45,5690.7,1.48811,1.16951,1.19345,0.44848,0.3546,0.35414,0.20705,1.43425,1.1229,1.17449,0.005644,0.005644,0.005644
46,5818.83,1.48055,1.16316,1.18948,0.46221,0.35295,0.35878,0.21145,1.43891,1.1192,1.17667,0.005545,0.005545,0.005545
47,5941.58,1.48021,1.15833,1.18693,0.45402,0.36173,0.35962,0.21123,1.42786,1.11419,1.17278,0.005446,0.005446,0.005446
48,6065.56,1.472,1.14718,1.18392,0.46171,0.3595,0.36369,0.21377,1.42874,1.10997,1.17169,0.005347,0.005347,0.005347
49,6186.48,1.46633,1.15018,1.1855,0.47127,0.35321,0.36256,0.21469,1.4327,1.11457,1.17214,0.005248,0.005248,0.005248
50,6311.49,1.47396,1.14381,1.1837,0.46118,0.36321,0.36455,0.21398,1.43393,1.10935,1.17253,0.005149,0.005149,0.005149
51,6434.68,1.46252,1.13841,1.18186,0.46647,0.363,0.36632,0.21555,1.42644,1.106,1.16991,0.00505,0.00505,0.00505
52,6558.68,1.46272,1.13677,1.18158,0.46141,0.36634,0.36608,0.21551,1.41918,1.09973,1.16692,0.004951,0.004951,0.004951
53,6683.3,1.45694,1.12789,1.18074,0.46398,0.36563,0.36865,0.21641,1.42287,1.09944,1.16688,0.004852,0.004852,0.004852
54,6809.11,1.45926,1.12434,1.17723,0.46582,0.36328,0.36851,0.21804,1.41569,1.09639,1.16463,0.004753,0.004753,0.004753
55,6933.93,1.4535,1.11458,1.17163,0.46276,0.37232,0.37043,0.21761,1.42371,1.09498,1.16786,0.004654,0.004654,0.004654
56,7058.35,1.45172,1.12,1.17858,0.4694,0.3684,0.37244,0.21999,1.41503,1.09086,1.16255,0.004555,0.004555,0.004555
57,7181.64,1.45057,1.11687,1.17254,0.46464,0.36791,0.37163,0.21998,1.41085,1.08819,1.1611,0.004456,0.004456,0.004456
58,7302.69,1.4372,1.10675,1.17493,0.46653,0.36947,0.37284,0.21995,1.41197,1.08609,1.16286,0.004357,0.004357,0.004357
59,7423.31,1.44383,1.10977,1.17612,0.47382,0.36912,0.37419,0.22055,1.40936,1.08511,1.16103,0.004258,0.004258,0.004258
60,7545.51,1.43221,1.09893,1.16228,0.475,0.36914,0.377,0.2224,1.40994,1.08024,1.16102,0.004159,0.004159,0.004159
61,7666.71,1.44152,1.10568,1.16905,0.47246,0.37562,0.37875,0.22379,1.40629,1.07631,1.15832,0.00406,0.00406,0.00406
62,7789.29,1.44046,1.09929,1.16897,0.47307,0.37354,0.37983,0.22484,1.40553,1.07463,1.15884,0.003961,0.003961,0.003961
63,7912.59,1.4318,1.08984,1.16226,0.47078,0.37887,0.3786,0.22265,1.40909,1.07702,1.1592,0.003862,0.003862,0.003862
64,8032.39,1.43156,1.08677,1.1635,0.47519,0.37523,0.37903,0.22348,1.40697,1.07616,1.1588,0.003763,0.003763,0.003763
65,8153.59,1.43022,1.08718,1.16197,0.47558,0.37931,0.38194,0.22499,1.40448,1.07459,1.15789,0.003664,0.003664,0.003664
66,8274.91,1.42065,1.0781,1.15644,0.47477,0.37953,0.38332,0.22541,1.40749,1.072,1.15886,0.003565,0.003565,0.003565
67,8396.3,1.42301,1.07737,1.16165,0.47623,0.38009,0.38343,0.22729,1.40424,1.06937,1.15701,0.003466,0.003466,0.003466
68,8515.58,1.42009,1.07259,1.15805,0.48243,0.37909,0.38317,0.22777,1.40099,1.06773,1.15551,0.003367,0.003367,0.003367
69,8638.66,1.41939,1.07027,1.15707,0.48078,0.38054,0.38479,0.2283,1.40123,1.06268,1.15584,0.003268,0.003268,0.003268
70,8759.24,1.42373,1.06903,1.15208,0.48671,0.38324,0.38595,0.22843,1.40385,1.06505,1.1574,0.003169,0.003169,0.003169
71,8880.67,1.41195,1.06062,1.15734,0.47965,0.38318,0.38894,0.23159,1.40128,1.06375,1.15591,0.00307,0.00307,0.00307
