epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.756,4.36768,4.39894,3.34918,0.02042,0.02469,0.01107,0.00326,3.39541,3.7888,2.51977,0.0700741,0.0033251,0.0033251
2,287.377,2.87774,2.91779,2.0858,0.07536,0.12848,0.06404,0.02696,2.40344,2.36252,1.81095,0.0400082,0.00659252,0.00659252
3,418.563,2.40248,2.46103,1.76214,0.1576,0.13842,0.08612,0.04079,2.25839,2.12161,1.6587,0.00987624,0.00979393,0.00979393
4,551.375,2.17529,2.20923,1.60325,0.23388,0.15757,0.10634,0.05245,2.0619,1.95339,1.53929,0.009703,0.009703,0.009703
5,681.388,2.03428,2.01775,1.51434,0.26504,0.17826,0.13489,0.07061,1.89122,1.76524,1.42876,0.009604,0.009604,0.009604
6,813.1,1.96006,1.87322,1.46033,0.22335,0.12722,0.08618,0.04371,2.28874,2.13933,1.59405,0.009505,0.009505,0.009505
7,941.087,1.89291,1.77816,1.42633,0.26635,0.16722,0.14192,0.07526,1.924,1.76145,1.43646,0.009406,0.009406,0.009406
8,1068.58,1.84449,1.70928,1.39524,0.24879,0.19531,0.17365,0.09382,1.80862,1.61957,1.36921,0.009307,0.009307,0.009307
9,1196.25,1.80953,1.65994,1.37706,0.25335,0.23887,0.19937,0.10687,1.74988,1.50785,1.33699,0.009208,0.009208,0.009208
10,1318.76,1.77959,1.60343,1.35973,0.31286,0.24156,0.22009,0.12138,1.69859,1.46892,1.31955,0.009109,0.009109,0.009109
11,1445.06,1.75523,1.56103,1.33713,0.30237,0.25318,0.22286,0.12277,1.66009,1.44526,1.30172,0.00901,0.00901,0.00901
12,1568.45,1.73131,1.53941,1.32966,0.3246,0.25924,0.23259,0.12926,1.64587,1.40834,1.293,0.008911,0.008911,0.008911
13,1694.31,1.70691,1.50151,1.31937,0.35523,0.25896,0.24725,0.13832,1.635,1.38681,1.28514,0.008812,0.008812,0.008812
14,1822.45,1.69455,1.47963,1.30875,0.35381,0.26213,0.25267,0.14227,1.61187,1.36119,1.27172,0.008713,0.008713,0.008713
15,1947.76,1.67962,1.44904,1.29403,0.35195,0.26537,0.25644,0.1455,1.59684,1.34961,1.26761,0.008614,0.008614,0.008614
16,2072.25,1.66508,1.42763,1.28665,0.37242,0.27995,0.2671,0.15179,1.57972,1.32747,1.25608,0.008515,0.008515,0.008515
17,2197.62,1.64629,1.40753,1.28241,0.38775,0.28097,0.27155,0.15422,1.58387,1.30553,1.25859,0.008416,0.008416,0.008416
18,2322.41,1.63955,1.39525,1.27959,0.37284,0.29008,0.27807,0.15923,1.56234,1.28799,1.24936,0.008317,0.008317,0.008317
19,2445.74,1.62667,1.37337,1.26881,0.40672,0.28543,0.28306,0.16059,1.55289,1.27714,1.24702,0.008218,0.008218,0.008218
20,2569.11,1.62258,1.36711,1.26646,0.38345,0.30389,0.28836,0.16508,1.53845,1.27021,1.23409,0.008119,0.008119,0.008119
21,2692.78,1.61025,1.35144,1.26349,0.39584,0.30152,0.29419,0.16797,1.53114,1.25606,1.23139,0.00802,0.00802,0.00802
22,2814.64,1.59636,1.33131,1.25739,0.38697,0.30449,0.29443,0.16903,1.53361,1.24325,1.22874,0.007921,0.007921,0.007921
23,2935.35,1.58952,1.31754,1.24644,0.3988,0.3038,0.29831,0.17071,1.51831,1.23451,1.22125,0.007822,0.007822,0.007822
24,3056.59,1.57469,1.30356,1.24497,0.38572,0.30876,0.29846,0.17004,1.52308,1.23452,1.22493,0.007723,0.007723,0.007723
25,3178.49,1.56806,1.28317,1.23957,0.40426,0.31328,0.31023,0.17819,1.50197,1.21843,1.21486,0.007624,0.007624,0.007624
26,3300.02,1.5613,1.28035,1.23529,0.42732,0.3079,0.31114,0.17995,1.50064,1.21619,1.21318,0.007525,0.007525,0.007525
27,3420.9,1.56274,1.27008,1.23241,0.4013,0.31956,0.31203,0.17963,1.49716,1.20955,1.21292,0.007426,0.007426,0.007426
28,3541.97,1.553,1.25995,1.22905,0.4117,0.31782,0.31464,0.18096,1.4896,1.19928,1.20837,0.007327,0.007327,0.007327
29,3665.57,1.54149,1.24703,1.22448,0.41727,0.32389,0.31926,0.18411,1.47468,1.18607,1.20029,0.007228,0.007228,0.007228
30,3790.19,1.53652,1.24039,1.22236,0.42622,0.32836,0.32271,0.18699,1.48322,1.18303,1.20513,0.007129,0.007129,0.007129
31,3912.89,1.5295,1.2384,1.21904,0.42671,0.32665,0.32356,0.1878,1.47888,1.18254,1.2003,0.00703,0.00703,0.00703
32,4034.68,1.52541,1.22816,1.2167,0.42388,0.3279,0.32608,0.18991,1.4701,1.17393,1.19724,0.006931,0.006931,0.006931
33,4158.3,1.52235,1.21973,1.21992,0.43426,0.32539,0.32704,0.19002,1.46577,1.16424,1.19573,0.006832,0.006832,0.006832
34,4278.37,1.517,1.2079,1.20826,0.43525,0.3327,0.33563,0.19615,1.46165,1.15568,1.19468,0.006733,0.006733,0.006733
35,4397.79,1.50899,1.20079,1.20663,0.43613,0.33355,0.33614,0.19705,1.45602,1.15679,1.18831,0.006634,0.006634,0.006634
36,4519.82,1.5051,1.19348,1.20768,0.44676,0.33991,0.3392,0.19765,1.45886,1.14861,1.19162,0.006535,0.006535,0.006535
37,4641.92,1.50083,1.18742,1.19914,0.43664,0.34156,0.33886,0.19955,1.45672,1.15029,1.18939,0.006436,0.006436,0.006436
38,4765.89,1.49941,1.18305,1.2014,0.44843,0.33977,0.34082,0.19837,1.45336,1.14549,1.1872,0.006337,0.006337,0.006337
39,4885.34,1.49239,1.17481,1.19803,0.44148,0.34517,0.34249,0.19927,1.45166,1.14152,1.18635,0.006238,0.006238,0.006238
40,5007.77,1.48977,1.168,1.19949,0.43085,0.35206,0.34663,0.20149,1.44224,1.1301,1.18409,0.006139,0.006139,0.006139
41,5129.54,1.48248,1.16635,1.19404,0.45041,0.3495,0.35105,0.2053,1.44208,1.12721,1.18302,0.00604,0.00604,0.00604
42,5253.58,1.48085,1.15754,1.19264,0.45411,0.35513,0.35552,0.20836,1.44176,1.12216,1.17993,0.005941,0.005941,0.005941
43,5374.71,1.47483,1.15083,1.18427,0.46108,0.34822,0.3526,0.20478,1.43891,1.1212,1.17842,0.005842,0.005842,0.005842
44,5496.25,1.46973,1.14578,1.18743,0.44666,0.3549,0.35532,0.20774,1.43724,1.11548,1.17961,0.005743,0.005743,0.005743
45,5619.55,1.47512,1.14648,1.18991,0.45924,0.35382,0.35933,0.21056,1.43069,1.10934,1.17597,0.005644,0.005644,0.005644
46,5742.73,1.46936,1.14087,1.18652,0.45467,0.35903,0.3603,0.21129,1.42833,1.11111,1.17478,0.005545,0.005545,0.005545
47,5863.3,1.46662,1.13666,1.18315,0.4619,0.35983,0.36283,0.21255,1.43277,1.10647,1.17625,0.005446,0.005446,0.005446
48,5988.02,1.45899,1.12477,1.18029,0.46537,0.35896,0.36459,0.21318,1.42132,1.10238,1.17158,0.005347,0.005347,0.005347
49,6110.55,1.45379,1.12515,1.18209,0.46173,0.36186,0.36709,0.21522,1.42163,1.09751,1.17017,0.005248,0.005248,0.005248
50,6232.41,1.46134,1.12176,1.18065,0.46281,0.36101,0.36783,0.21586,1.42415,1.09951,1.1715,0.005149,0.005149,0.005149
51,6354.8,1.45096,1.11617,1.17876,0.46891,0.36284,0.37,0.2173,1.42187,1.09542,1.17104,0.00505,0.00505,0.00505
52,6474.1,1.45103,1.11429,1.17811,0.46733,0.36852,0.37331,0.21913,1.41745,1.09071,1.16794,0.004951,0.004951,0.004951
53,6597.39,1.44504,1.10575,1.17753,0.47022,0.36701,0.37247,0.21802,1.41566,1.08916,1.16852,0.004852,0.004852,0.004852
54,6718.81,1.44731,1.10187,1.17396,0.47228,0.3673,0.37523,0.22154,1.41062,1.08411,1.16553,0.004753,0.004753,0.004753
55,6840.9,1.43959,1.09197,1.16809,0.48702,0.36446,0.37602,0.22226,1.4147,1.08636,1.16544,0.004654,0.004654,0.004654
56,6964.58,1.438,1.09631,1.17466,0.4634,0.37938,0.37885,0.22453,1.40959,1.07808,1.16477,0.004555,0.004555,0.004555
57,7088.91,1.43914,1.09414,1.16977,0.48062,0.36731,0.37984,0.22407,1.40794,1.07745,1.16427,0.004456,0.004456,0.004456
58,7213.41,1.42439,1.08252,1.17169,0.47845,0.36973,0.37577,0.22181,1.40714,1.07749,1.16409,0.004357,0.004357,0.004357
59,7338.63,1.43113,1.08757,1.17256,0.47922,0.37112,0.37928,0.22289,1.40646,1.07647,1.16369,0.004258,0.004258,0.004258
60,7458.9,1.42063,1.07603,1.15952,0.48971,0.36599,0.38143,0.2242,1.408,1.07303,1.1637,0.004159,0.004159,0.004159
