epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.812,4.25165,4.32542,3.29465,0.32457,0.02547,0.01391,0.00444,3.24729,3.26221,2.42955,0.0700741,0.0033251,0.0033251
2,228.479,2.80183,2.87435,2.03826,0.18193,0.10577,0.06708,0.02915,2.38503,2.34306,1.78314,0.0400082,0.00659252,0.00659252
3,306.63,2.3927,2.44716,1.73872,0.19993,0.11026,0.07688,0.03479,2.26024,2.20026,1.64744,0.00987624,0.00979393,0.00979393
4,385.986,2.16388,2.20463,1.58908,0.21274,0.13326,0.0963,0.04871,2.11442,2.01482,1.5467,0.009703,0.009703,0.009703
5,463.762,2.02468,2.01429,1.50589,0.2653,0.1682,0.12438,0.06491,1.89163,1.79425,1.43209,0.009604,0.009604,0.009604
6,541.348,1.9494,1.8707,1.45341,0.30225,0.17007,0.13982,0.07294,1.88004,1.708,1.40505,0.009505,0.009505,0.009505
7,619.353,1.87924,1.77599,1.41928,0.32798,0.178,0.16421,0.08523,1.83623,1.66113,1.39395,0.009406,0.009406,0.009406
8,696.641,1.83004,1.70354,1.38596,0.3513,0.21526,0.19145,0.10273,1.71035,1.53102,1.32716,0.009307,0.009307,0.009307
9,773.863,1.79546,1.65104,1.36874,0.25122,0.222,0.1921,0.10323,1.74805,1.50593,1.33298,0.009208,0.009208,0.009208
10,850.252,1.76522,1.59597,1.35069,0.28494,0.24016,0.20953,0.11637,1.65911,1.47266,1.30238,0.009109,0.009109,0.009109
11,926.205,1.74002,1.55291,1.32879,0.30282,0.26343,0.22907,0.12752,1.63439,1.40515,1.2916,0.00901,0.00901,0.00901
12,1004.67,1.71617,1.52617,1.32077,0.30986,0.27234,0.23861,0.13241,1.62441,1.39155,1.27635,0.008911,0.008911,0.008911
13,1081.4,1.69402,1.48873,1.31164,0.31659,0.25777,0.23218,0.12839,1.65897,1.37679,1.28533,0.008812,0.008812,0.008812
14,84.6057,1.68131,1.47472,1.30356,0.35508,0.26545,0.25792,0.14556,1.58632,1.34242,1.26182,0.008713,0.008713,0.008713
15,160.521,1.66169,1.44048,1.28951,0.35782,0.2761,0.26532,0.15004,1.56253,1.31134,1.24998,0.008614,0.008614,0.008614
16,236.169,1.65488,1.42172,1.28439,0.35473,0.2815,0.2627,0.14945,1.56748,1.3141,1.24543,0.008515,0.008515,0.008515
17,312.517,1.63254,1.39291,1.27267,0.37282,0.28948,0.28131,0.15826,1.55353,1.28172,1.24096,0.008416,0.008416,0.008416
18,389.027,1.6216,1.37838,1.27086,0.36681,0.29259,0.27864,0.15908,1.54408,1.27724,1.23537,0.008317,0.008317,0.008317
19,94.1984,1.6235,1.39209,1.27186,0.37287,0.29759,0.28896,0.16689,1.52271,1.26235,1.22586,0.008218,0.008218,0.008218
20,183.066,1.61763,1.37694,1.26509,0.36129,0.30229,0.28386,0.16248,1.53741,1.27188,1.22832,0.008119,0.008119,0.008119
21,269.978,1.60312,1.35717,1.26188,0.39009,0.30249,0.30039,0.17198,1.51266,1.23661,1.22228,0.00802,0.00802,0.00802
22,357.79,1.59919,1.34314,1.25457,0.39653,0.31186,0.30624,0.17474,1.50818,1.22789,1.21696,0.007921,0.007921,0.007921
23,444.705,1.58093,1.32796,1.25142,0.39898,0.31532,0.30443,0.17438,1.50221,1.22084,1.21394,0.007822,0.007822,0.007822
24,531.549,1.5806,1.31845,1.24795,0.39642,0.3122,0.30958,0.17719,1.49604,1.22012,1.21024,0.007723,0.007723,0.007723
25,619.046,1.56792,1.30029,1.24418,0.40895,0.3207,0.31716,0.18261,1.49115,1.19583,1.20789,0.007624,0.007624,0.007624
26,706.344,1.56132,1.29506,1.23896,0.41679,0.31763,0.3161,0.18331,1.47218,1.18968,1.20145,0.007525,0.007525,0.007525
27,793.722,1.55622,1.28523,1.23501,0.40788,0.33183,0.32243,0.18769,1.47036,1.18704,1.19893,0.007426,0.007426,0.007426
28,880.533,1.54781,1.26867,1.23064,0.42388,0.32527,0.32154,0.18645,1.46771,1.18317,1.19849,0.007327,0.007327,0.007327
29,966.348,1.54118,1.26094,1.23048,0.43002,0.32525,0.32566,0.19014,1.4641,1.17751,1.19505,0.007228,0.007228,0.007228
30,1052.33,1.53294,1.25485,1.22617,0.42701,0.33262,0.33091,0.19282,1.45485,1.16233,1.19289,0.007129,0.007129,0.007129
31,1138.87,1.54586,1.26055,1.22564,0.43242,0.33616,0.33505,0.19507,1.44841,1.15616,1.18724,0.00703,0.00703,0.00703
32,1225.71,1.52289,1.23612,1.21614,0.43205,0.33728,0.33418,0.1953,1.44992,1.15584,1.18606,0.006931,0.006931,0.006931
33,1313.43,1.52256,1.23175,1.21355,0.43076,0.34164,0.33912,0.19866,1.44465,1.14778,1.18423,0.006832,0.006832,0.006832
34,1400.25,1.51646,1.22198,1.21122,0.44033,0.34179,0.34197,0.2008,1.43811,1.14564,1.18187,0.006733,0.006733,0.006733
35,1488.1,1.50706,1.21672,1.21338,0.44149,0.34883,0.34802,0.20338,1.44018,1.138,1.18262,0.006634,0.006634,0.006634
36,1574.52,1.50494,1.20604,1.20789,0.43012,0.34649,0.34483,0.2008,1.43436,1.13672,1.17864,0.006535,0.006535,0.006535
37,1659.74,1.49817,1.20185,1.20444,0.44266,0.348,0.3493,0.20476,1.4359,1.13002,1.18062,0.006436,0.006436,0.006436
38,1747.5,1.49483,1.19386,1.2027,0.44759,0.34429,0.3477,0.20392,1.4295,1.12497,1.17788,0.006337,0.006337,0.006337
39,1834.86,1.49424,1.18803,1.20399,0.44443,0.35136,0.35348,0.20621,1.42305,1.11677,1.17371,0.006238,0.006238,0.006238
40,1921.67,1.49341,1.17999,1.20334,0.46392,0.35095,0.35591,0.20804,1.42326,1.11155,1.17237,0.006139,0.006139,0.006139
41,2009.22,1.49328,1.18429,1.1963,0.46433,0.34649,0.35562,0.20877,1.42204,1.11318,1.17104,0.00604,0.00604,0.00604
42,2096.96,1.48355,1.17189,1.19946,0.44647,0.35226,0.35424,0.20793,1.4169,1.11167,1.16962,0.005941,0.005941,0.005941
43,2183.88,1.46761,1.15417,1.19133,0.45266,0.35804,0.35963,0.21125,1.41203,1.10316,1.16823,0.005842,0.005842,0.005842
44,2270.69,1.4774,1.16078,1.19091,0.45575,0.35398,0.36028,0.21082,1.40857,1.09981,1.16522,0.005743,0.005743,0.005743
45,2357.27,1.47936,1.16039,1.18895,0.45972,0.35656,0.36355,0.21353,1.40297,1.09268,1.1628,0.005644,0.005644,0.005644
46,2443.88,1.46458,1.14444,1.1879,0.45367,0.36329,0.3644,0.21495,1.40213,1.09013,1.16255,0.005545,0.005545,0.005545
47,2529.8,1.47354,1.15299,1.18914,0.46229,0.35825,0.36379,0.21425,1.40198,1.09232,1.16162,0.005446,0.005446,0.005446
48,2616.33,1.46,1.13717,1.18209,0.46064,0.36297,0.36753,0.21634,1.40068,1.08934,1.1614,0.005347,0.005347,0.005347
49,2702.61,1.46077,1.13512,1.18329,0.46569,0.3641,0.36891,0.21688,1.39741,1.08685,1.15941,0.005248,0.005248,0.005248
50,2788.98,1.46059,1.13353,1.1795,0.4578,0.37191,0.37293,0.2193,1.39775,1.08224,1.16033,0.005149,0.005149,0.005149
51,2875.3,1.45683,1.12913,1.1816,0.47093,0.361,0.37201,0.21899,1.39413,1.07748,1.15807,0.00505,0.00505,0.00505
52,2960.92,1.44773,1.12073,1.17458,0.47006,0.36844,0.37686,0.22223,1.39301,1.07148,1.15749,0.004951,0.004951,0.004951
53,3046.92,1.4507,1.11894,1.17619,0.48595,0.3604,0.37635,0.22303,1.39353,1.07435,1.15775,0.004852,0.004852,0.004852
54,3133.18,1.44305,1.11058,1.177,0.48184,0.36735,0.37743,0.22371,1.38783,1.06704,1.15518,0.004753,0.004753,0.004753
55,3219.32,1.44387,1.11253,1.17482,0.4841,0.36882,0.37931,0.22429,1.39036,1.06726,1.15461,0.004654,0.004654,0.004654
56,3305.09,1.44228,1.11028,1.17381,0.48057,0.36896,0.37926,0.22362,1.38861,1.06515,1.15529,0.004555,0.004555,0.004555
57,95.3138,1.43461,1.09873,1.17098,0.48816,0.36561,0.38185,0.22596,1.3861,1.06175,1.1535,0.004456,0.004456,0.004456
58,183.251,1.4385,1.10037,1.16897,0.48483,0.37518,0.38407,0.22722,1.38575,1.05931,1.15238,0.004357,0.004357,0.004357
