epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.62,4.21899,4.21439,3.1352,0.1366,0.04595,0.02182,0.00757,3.10162,3.18954,2.29276,0.0700371,0.00332921,0.00332921
2,410.18,2.7492,2.84282,1.99286,0.19927,0.09195,0.0637,0.02838,2.40626,2.33202,1.78452,0.0399711,0.00659659,0.00659659
3,588.416,2.34432,2.40795,1.71099,0.20723,0.12468,0.0925,0.04338,2.1278,2.02,1.60823,0.00983916,0.00979796,0.00979796
4,775.396,2.14667,2.19652,1.59064,0.2254,0.14242,0.10814,0.05443,2.01758,1.88363,1.50408,0.009703,0.009703,0.009703
5,959.013,2.02767,2.02881,1.5121,0.22679,0.10558,0.07593,0.03813,2.22545,2.14558,1.56625,0.009604,0.009604,0.009604
6,1219.93,1.95293,1.89742,1.46217,0.28669,0.17245,0.13855,0.07317,1.85851,1.69196,1.41061,0.009505,0.009505,0.009505
7,1395.5,1.89261,1.81461,1.42451,0.21064,0.19919,0.15973,0.08533,1.80757,1.63245,1.38384,0.009406,0.009406,0.009406
8,1614.92,1.84748,1.73253,1.39903,0.24568,0.22597,0.18601,0.10005,1.73044,1.52483,1.34884,0.009307,0.009307,0.009307
9,2742.15,1.80856,1.67614,1.37424,0.26982,0.23502,0.20255,0.11056,1.70565,1.48653,1.33113,0.009208,0.009208,0.009208
10,2972.46,1.77643,1.62213,1.35766,0.26776,0.24125,0.20815,0.11555,1.68164,1.44688,1.32154,0.009109,0.009109,0.009109
11,4464.63,1.75971,1.60056,1.3509,0.31544,0.24183,0.21257,0.11785,1.65778,1.41908,1.30399,0.00901,0.00901,0.00901
12,4671.09,1.73358,1.55669,1.329,0.3271,0.25818,0.23813,0.13338,1.61889,1.37872,1.28472,0.008911,0.008911,0.008911
13,4881.23,1.7123,1.52405,1.31981,0.33809,0.25113,0.23834,0.13453,1.63417,1.38846,1.30306,0.008812,0.008812,0.008812
14,5103.45,1.69111,1.48891,1.31064,0.33717,0.27243,0.25201,0.1447,1.57869,1.32986,1.26199,0.008713,0.008713,0.008713
15,5419.99,1.68389,1.48235,1.30602,0.35217,0.26633,0.25576,0.14577,1.58866,1.33131,1.26821,0.008614,0.008614,0.008614
16,5634.86,1.65699,1.44417,1.29026,0.37593,0.26874,0.26085,0.14907,1.57147,1.31365,1.25771,0.008515,0.008515,0.008515
17,7631.64,1.65545,1.43187,1.29061,0.3541,0.28694,0.26921,0.15275,1.55561,1.29023,1.25043,0.008416,0.008416,0.008416
18,8112.12,1.64428,1.40888,1.2806,0.36039,0.29039,0.2763,0.15811,1.5412,1.27444,1.2379,0.008317,0.008317,0.008317
19,8756.28,1.62306,1.39015,1.26772,0.37787,0.29303,0.28239,0.16099,1.53382,1.25441,1.23455,0.008218,0.008218,0.008218
