epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.642,4.27793,4.34553,3.2926,0.11386,0.01761,0.00688,0.00195,3.51214,3.62866,2.56397,0.0700741,0.0033251,0.0033251
2,204.454,2.84646,2.92921,2.06236,0.24875,0.0579,0.03254,0.01268,2.73769,2.82345,1.91105,0.0400521,0.00663646,0.00663646
3,288.453,2.40246,2.45427,1.74498,0.19465,0.10969,0.06302,0.02895,2.33655,2.42032,1.64335,0.0100081,0.00992582,0.00992582
4,373.024,2.16823,2.20194,1.59314,0.23858,0.13153,0.09327,0.04656,2.04523,2.14863,1.49903,0.009901,0.009901,0.009901
5,457.531,2.02789,2.00702,1.50899,0.37721,0.13766,0.10725,0.0543,1.98473,2.04385,1.45752,0.009868,0.009868,0.009868
1,129.796,4.3428,4.40794,3.36794,0.01455,0.01749,0.00643,0.00188,3.50224,4.1643,2.51001,0.0700741,0.0033251,0.0033251
2,215.958,2.88224,2.93211,2.10023,0.08585,0.06645,0.03538,0.0143,2.58292,2.74908,1.86118,0.0400521,0.00663646,0.00663646
3,301.865,2.42229,2.46829,1.77593,0.21349,0.11204,0.07058,0.03233,2.28241,2.40806,1.6617,0.0100081,0.00992582,0.00992582
4,385.577,2.19876,2.21792,1.62044,0.35228,0.1175,0.08806,0.04245,2.13949,2.17745,1.54283,0.009901,0.009901,0.009901
5,482.274,2.06115,2.02852,1.53395,0.35277,0.1347,0.10323,0.05177,2.06107,2.38455,1.52897,0.009868,0.009868,0.009868
1,108.362,4.35657,4.39846,3.34771,0.02224,0.03522,0.01386,0.00421,3.39441,3.25158,2.47018,0.0700741,0.0033251,0.0033251
2,187.514,2.89614,2.93008,2.08876,0.08643,0.11054,0.06363,0.0275,2.45114,2.38712,1.81753,0.0400521,0.00663646,0.00663646
3,265.334,2.42122,2.46984,1.76912,0.20944,0.1087,0.06491,0.02976,2.44428,2.35336,1.72897,0.0100081,0.00992582,0.00992582
4,341.262,2.19301,2.21392,1.61329,0.24334,0.14939,0.11386,0.05728,1.99163,1.90362,1.50957,0.009901,0.009901,0.009901
5,417.619,2.04891,2.01295,1.52508,0.28148,0.18452,0.14016,0.07365,1.87643,1.72667,1.43614,0.009868,0.009868,0.009868
6,494.26,1.96472,1.87139,1.46743,0.20897,0.18818,0.15018,0.07878,1.90272,1.69428,1.41813,0.009835,0.009835,0.009835
