epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4377,4.73635,6.23546,4.6426,5e-05,0.0046,0.00022,6e-05,4.88824,4.88768,4.11563,0.0702439,0.00330623,0.00330623
2,108.99,2.87948,2.48405,2.76118,0.21923,0.41346,0.2588,0.08936,2.45581,11.3681,2.65742,0.0401782,0.00657383,0.00657383
1,60.2707,4.57392,5.79148,4.54805,0.14083,0.15814,0.05735,0.01455,3.43993,3.10662,3.84217,0.070122,0.00331978,0.00331978
2,103.818,2.69715,2.27557,2.58226,0.45886,0.3594,0.33314,0.11493,2.23099,3.32617,2.25457,0.0400561,0.00658725,0.00658725
3,144.881,2.10135,1.81491,1.90091,0.71464,0.46981,0.55726,0.25482,1.98812,3.62108,2.02123,0.00992422,0.00978872,0.00978872
4,184.65,1.8353,1.52576,1.66897,0.77309,0.57792,0.67753,0.37591,1.56599,1.86861,1.60688,0.009703,0.009703,0.009703
5,224.118,1.63233,1.26799,1.52378,0.79078,0.64116,0.71599,0.41708,1.40582,1.38601,1.47946,0.009604,0.009604,0.009604
6,265.052,1.5298,1.16143,1.43773,0.80816,0.63951,0.74153,0.46201,1.32699,1.01111,1.42812,0.009505,0.009505,0.009505
7,306.266,1.45369,1.07366,1.41043,0.8114,0.65267,0.75018,0.4688,1.29241,0.95502,1.38666,0.009406,0.009406,0.009406
8,348.597,1.42272,1.05467,1.38274,0.85359,0.67388,0.78003,0.48454,1.29134,0.92444,1.37906,0.009307,0.009307,0.009307
9,390.869,1.38095,0.99807,1.35029,0.83906,0.70328,0.79058,0.50858,1.19509,0.87463,1.32941,0.009208,0.009208,0.009208
10,433.581,1.33799,0.95076,1.32514,0.7303,0.6222,0.6859,0.43328,1.27766,1.25201,1.36201,0.009109,0.009109,0.009109
