epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.4543,4.65365,6.26282,4.64642,8e-05,0.0084,0.00104,0.00054,4.98373,4.5104,4.1133,0.0702439,0.00330623,0.00330623
2,144.111,2.83528,2.40791,2.72532,0.38776,0.50233,0.40432,0.16439,2.13375,6.77914,2.28066,0.0401782,0.00657383,0.00657383
3,194.381,2.18059,1.83057,1.98434,0.29215,0.649,0.43167,0.17578,2.08217,19.7866,2.33751,0.0100464,0.00977544,0.00977544
4,252.496,1.93222,1.62498,1.73795,0.77859,0.59535,0.6754,0.385,1.56777,4.59955,1.71372,0.009703,0.009703,0.009703
5,302.294,1.68094,1.35313,1.55685,0.83626,0.65699,0.74469,0.42857,1.47045,2.95934,1.5957,0.009604,0.009604,0.009604
6,361.142,1.56656,1.19358,1.45234,0.84865,0.69591,0.78983,0.47553,1.41076,1.13551,1.49375,0.009505,0.009505,0.009505
7,412.853,1.49867,1.12854,1.41708,0.84602,0.67098,0.77087,0.47589,1.33778,1.25597,1.43851,0.009406,0.009406,0.009406
8,470.978,1.42515,1.03875,1.37254,0.87858,0.71364,0.81538,0.50832,1.2972,1.19656,1.40172,0.009307,0.009307,0.009307
9,521.66,1.38155,1.01256,1.32613,0.85185,0.73591,0.8118,0.51948,1.30673,0.93091,1.45674,0.009208,0.009208,0.009208
10,572.71,1.33467,0.9584,1.31394,0.88893,0.72945,0.83951,0.55006,1.24609,0.86456,1.36603,0.009109,0.009109,0.009109
11,626.22,1.30602,0.93352,1.30419,0.89731,0.73996,0.85161,0.5619,1.20136,0.8548,1.3402,0.00901,0.00901,0.00901
12,678.867,1.28986,0.91802,1.30689,0.89323,0.75172,0.84676,0.56383,1.18361,0.81783,1.31556,0.008911,0.008911,0.008911
