epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.9603,4.27936,4.04043,2.78011,0.24904,0.02861,0.01932,0.0061,3.308,3.0101,1.81013,0.0700741,0.0033251,0.0033251
2,211.294,2.84835,2.71948,1.58994,0.08261,0.07695,0.0539,0.02343,2.4536,2.19951,1.35076,0.0400521,0.00663646,0.00663646
3,296.565,2.39714,2.28432,1.35536,0.22368,0.08842,0.067,0.03101,2.30951,2.02601,1.27016,0.0100081,0.00992582,0.00992582
4,359.692,2.16639,2.03313,1.25788,0.14638,0.13667,0.09875,0.04693,2.01049,1.7908,1.17713,0.009901,0.009901,0.009901
5,432.324,2.02905,1.87694,1.20221,0.19001,0.15795,0.1193,0.0612,1.87913,1.63951,1.13226,0.009868,0.009868,0.009868
6,516.126,1.98003,1.81091,1.16082,0.17146,0.16301,0.12124,0.06323,1.92193,1.69944,1.09838,0.009835,0.009835,0.009835
7,590.888,1.91705,1.7491,1.12767,0.21379,0.17339,0.1399,0.07304,1.83152,1.58528,1.07496,0.009802,0.009802,0.009802
8,673.797,1.86625,1.68475,1.09888,0.21473,0.18788,0.14792,0.07738,1.76874,1.52709,1.05714,0.009769,0.009769,0.009769
9,746.01,1.82879,1.64314,1.08883,0.22471,0.19056,0.15744,0.0853,1.7334,1.48607,1.04511,0.009736,0.009736,0.009736
10,828.994,1.79457,1.59151,1.07893,0.25678,0.21198,0.17695,0.09473,1.70122,1.42261,1.03784,0.009703,0.009703,0.009703
11,1429.22,1.75603,1.55196,1.06659,0.27095,0.21745,0.18312,0.09869,1.65706,1.38492,1.02394,0.00967,0.00967,0.00967
12,1533.61,1.73556,1.51989,1.05917,0.28417,0.21637,0.19206,0.1047,1.64956,1.36076,1.02266,0.009637,0.009637,0.009637
13,1599.12,1.72145,1.49475,1.05208,0.28499,0.22146,0.19541,0.1086,1.62912,1.3706,1.01202,0.009604,0.009604,0.009604
14,1676.42,1.68507,1.45345,1.04084,0.3103,0.23213,0.21147,0.11627,1.60003,1.32763,1.01197,0.009571,0.009571,0.009571
15,1774.7,1.68371,1.44198,1.04087,0.31407,0.23956,0.21549,0.11916,1.59453,1.30201,1.00366,0.009538,0.009538,0.009538
16,2700.77,1.67011,1.42771,1.03551,0.31419,0.23644,0.22067,0.12078,1.57837,1.29357,1.00066,0.009505,0.009505,0.009505
17,2772.65,1.64616,1.40034,1.03267,0.31903,0.23685,0.21923,0.12092,1.57553,1.29196,0.99821,0.009472,0.009472,0.009472
18,2873.9,1.64766,1.38707,1.02678,0.32162,0.25132,0.23076,0.12768,1.54183,1.25023,0.98868,0.009439,0.009439,0.009439
19,2938.41,1.63152,1.37395,1.02413,0.3281,0.2477,0.23124,0.12793,1.54738,1.25588,0.98905,0.009406,0.009406,0.009406
20,3010.93,1.61982,1.36028,1.02356,0.33284,0.24377,0.23052,0.12929,1.53402,1.24224,0.9831,0.009373,0.009373,0.009373
21,3442.19,1.61025,1.35202,1.01856,0.35078,0.24715,0.23947,0.13378,1.52787,1.23311,0.98594,0.00934,0.00934,0.00934
22,3580.41,1.60071,1.33702,1.01458,0.33991,0.25439,0.24354,0.13628,1.52651,1.22125,0.98624,0.009307,0.009307,0.009307
23,3739.98,1.59113,1.32032,1.01173,0.33651,0.26677,0.24911,0.13976,1.49782,1.20898,0.97671,0.009274,0.009274,0.009274
24,3812.15,1.58422,1.31227,1.00893,0.34578,0.26217,0.24706,0.13728,1.50333,1.20566,0.97836,0.009241,0.009241,0.009241
25,3877.15,1.5674,1.30006,1.0093,0.33805,0.26919,0.24811,0.14017,1.49843,1.2022,0.97554,0.009208,0.009208,0.009208
26,3964.14,1.57264,1.30042,1.00853,0.35951,0.26729,0.255,0.14413,1.48749,1.19128,0.97298,0.009175,0.009175,0.009175
27,4039.86,1.56139,1.28715,1.00397,0.35841,0.27127,0.25868,0.14493,1.48433,1.18287,0.97183,0.009142,0.009142,0.009142
28,4170.37,1.55972,1.2811,1.00394,0.3702,0.26001,0.25689,0.14548,1.47042,1.169,0.96931,0.009109,0.009109,0.009109
29,4240.95,1.55463,1.2682,1.00128,0.36447,0.27173,0.26104,0.14581,1.47275,1.16672,0.96909,0.009076,0.009076,0.009076
30,4314.23,1.54889,1.25581,0.99819,0.36807,0.27443,0.26475,0.1475,1.46542,1.16024,0.96668,0.009043,0.009043,0.009043
31,4378.83,1.54904,1.26407,1.00014,0.34765,0.27872,0.26297,0.14784,1.46682,1.1618,0.96784,0.00901,0.00901,0.00901
32,4462.72,1.53154,1.24559,0.99302,0.36775,0.28184,0.26824,0.15265,1.45707,1.14906,0.96327,0.008977,0.008977,0.008977
33,4573.62,1.53183,1.2434,0.993,0.37014,0.27386,0.26799,0.15192,1.45417,1.14569,0.96281,0.008944,0.008944,0.008944
34,4637.88,1.52521,1.23355,0.99002,0.37932,0.28414,0.27315,0.15441,1.45144,1.14011,0.96252,0.008911,0.008911,0.008911
35,4712.66,1.52025,1.2247,0.99012,0.38094,0.28143,0.27221,0.15321,1.4535,1.14232,0.96416,0.008878,0.008878,0.008878
36,4788.3,1.51641,1.22653,0.99275,0.37395,0.27907,0.2708,0.15374,1.44335,1.13406,0.96133,0.008845,0.008845,0.008845
37,4874.6,1.51337,1.21898,0.98834,0.38469,0.28542,0.27882,0.15839,1.43191,1.12426,0.95872,0.008812,0.008812,0.008812
38,4961.03,1.51406,1.21496,0.98984,0.37712,0.29205,0.2756,0.15596,1.44214,1.12958,0.95968,0.008779,0.008779,0.008779
39,5154.9,1.50706,1.21065,0.98574,0.3756,0.2923,0.27937,0.15932,1.43475,1.11829,0.95852,0.008746,0.008746,0.008746
40,5227.34,1.50695,1.20794,0.9883,0.38624,0.29268,0.281,0.16027,1.42288,1.1131,0.9557,0.008713,0.008713,0.008713
41,5375,1.50735,1.20349,0.98622,0.39411,0.29501,0.28326,0.16215,1.42263,1.11171,0.95509,0.00868,0.00868,0.00868
42,5479.64,1.49214,1.19226,0.98278,0.38061,0.29783,0.28293,0.16175,1.41939,1.10721,0.95473,0.008647,0.008647,0.008647
43,5635.79,1.48775,1.19021,0.98016,0.39443,0.29363,0.28347,0.1626,1.41601,1.10639,0.95384,0.008614,0.008614,0.008614
44,5701.09,1.48316,1.18141,0.98249,0.39006,0.29525,0.28669,0.16395,1.41491,1.10124,0.9543,0.008581,0.008581,0.008581
45,5874.47,1.49385,1.18884,0.98079,0.38747,0.29995,0.28833,0.16541,1.41438,1.09626,0.95362,0.008548,0.008548,0.008548
46,5969.02,1.48364,1.18192,0.98155,0.39765,0.2992,0.29111,0.16691,1.40695,1.09267,0.95236,0.008515,0.008515,0.008515
47,6043.5,1.47862,1.17945,0.98172,0.39065,0.29654,0.28777,0.1662,1.40641,1.09383,0.95143,0.008482,0.008482,0.008482
48,6126.53,1.48094,1.18124,0.98187,0.38645,0.30298,0.28965,0.16688,1.40606,1.08725,0.95328,0.008449,0.008449,0.008449
49,6281.37,1.48013,1.17071,0.98044,0.39502,0.30706,0.29414,0.16984,1.40469,1.08463,0.95009,0.008416,0.008416,0.008416
50,6353.21,1.47934,1.16933,0.97723,0.39406,0.31259,0.29664,0.17065,1.39623,1.07636,0.94921,0.008383,0.008383,0.008383
51,6509.95,1.47614,1.1611,0.97752,0.39192,0.30547,0.29656,0.1711,1.39311,1.07723,0.94678,0.00835,0.00835,0.00835
52,6610.06,1.46403,1.15629,0.97835,0.40128,0.31069,0.29982,0.17348,1.39838,1.07494,0.95065,0.008317,0.008317,0.008317
53,6676.62,1.46882,1.15759,0.97599,0.40146,0.30893,0.29994,0.17224,1.39665,1.07474,0.94976,0.008284,0.008284,0.008284
54,6754.72,1.47342,1.16281,0.97646,0.40366,0.31177,0.30391,0.17458,1.39148,1.0687,0.94794,0.008251,0.008251,0.008251
55,6820.06,1.46686,1.15905,0.97525,0.41025,0.30439,0.30101,0.17439,1.38893,1.07055,0.94744,0.008218,0.008218,0.008218
56,6887.74,1.46387,1.15159,0.97558,0.39567,0.31393,0.30091,0.17464,1.38675,1.06721,0.94663,0.008185,0.008185,0.008185
57,6993.94,1.46314,1.14874,0.97537,0.40655,0.30573,0.3042,0.17625,1.38296,1.06407,0.94486,0.008152,0.008152,0.008152
58,7088.92,1.45635,1.14041,0.97388,0.41451,0.30892,0.30556,0.1769,1.38444,1.0632,0.94523,0.008119,0.008119,0.008119
59,7455.4,1.4536,1.14186,0.97513,0.40893,0.31283,0.30687,0.17794,1.38276,1.05946,0.94612,0.008086,0.008086,0.008086
60,7554.48,1.4543,1.13523,0.97398,0.4098,0.30994,0.30717,0.1782,1.37832,1.05914,0.94376,0.008053,0.008053,0.008053
61,7623.27,1.45348,1.13691,0.9717,0.41182,0.31295,0.30733,0.17847,1.37619,1.05574,0.94294,0.00802,0.00802,0.00802
62,7685.64,1.44862,1.13319,0.97035,0.41086,0.31419,0.30878,0.1793,1.37463,1.05535,0.9435,0.007987,0.007987,0.007987
63,7753.66,1.45128,1.13185,0.96956,0.40507,0.31894,0.30802,0.17926,1.37049,1.05292,0.94209,0.007954,0.007954,0.007954
64,7821.24,1.45743,1.13696,0.97042,0.4032,0.31394,0.30591,0.17707,1.37475,1.05395,0.94387,0.007921,0.007921,0.007921
65,7892.88,1.44787,1.13287,0.96921,0.40724,0.31441,0.30788,0.17854,1.36946,1.05192,0.942,0.007888,0.007888,0.007888
66,7965.57,1.45118,1.12911,0.96963,0.41318,0.31368,0.31085,0.18071,1.3684,1.04639,0.941,0.007855,0.007855,0.007855
67,8028.43,1.44709,1.12466,0.97105,0.41316,0.31723,0.3109,0.18078,1.36881,1.0462,0.94211,0.007822,0.007822,0.007822
68,8112.09,1.44098,1.11709,0.96819,0.42388,0.31105,0.3108,0.18099,1.37001,1.0439,0.94227,0.007789,0.007789,0.007789
69,8175.33,1.44136,1.11725,0.9679,0.41808,0.31454,0.3129,0.18191,1.36275,1.03924,0.94034,0.007756,0.007756,0.007756
70,8238.27,1.43368,1.10999,0.96637,0.41197,0.31813,0.31516,0.18347,1.36008,1.03556,0.93965,0.007723,0.007723,0.007723
71,8325.88,1.43623,1.10996,0.96417,0.42208,0.31511,0.31475,0.18368,1.35941,1.03729,0.93876,0.00769,0.00769,0.00769
