epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.408,5.47972,5.84368,4.23286,0.00013,0.00043,7e-05,2e-05,5.5859,4.71455,4.17853,0.0033251,0.0033251,0.0033251
2,185.537,3.81782,3.7055,2.50513,0.03726,0.09798,0.04143,0.01534,2.78554,2.62852,1.47335,0.00659252,0.00659252,0.00659252
3,245.82,2.61049,2.3975,1.4611,0.17147,0.09609,0.06311,0.02674,2.42766,2.14055,1.31951,0.00979393,0.00979393,0.00979393
4,303.235,2.2781,2.10056,1.30737,0.24044,0.12998,0.08969,0.04233,2.05752,1.78317,1.21652,0.009703,0.009703,0.009703
5,368.837,2.10386,1.90763,1.23896,0.25141,0.13846,0.10358,0.05116,1.96333,1.61634,1.16984,0.009604,0.009604,0.009604
1,67.523,5.49732,5.8029,4.24769,0.00102,0.00029,4e-05,2e-05,5.63563,9.59195,5.25531,0.00331691,0.00331691,0.00331691
2,103.21,4.24172,4.18475,2.90951,0.4472,0.03129,0.02418,0.00845,3.1536,3.67606,1.64236,0.00658441,0.00658441,0.00658441
3,148.576,2.76609,2.51213,1.54185,0.15707,0.093,0.05078,0.02038,2.47294,2.11115,1.40931,0.0097859,0.0097859,0.0097859
4,188.503,2.35222,2.12565,1.3351,0.20825,0.13812,0.08274,0.03745,2.11949,1.90203,1.23103,0.009703,0.009703,0.009703
5,225.814,2.13708,1.92093,1.2504,0.25195,0.14406,0.10388,0.05082,1.96615,1.63831,1.17137,0.009604,0.009604,0.009604
6,274.976,2.02488,1.79727,1.20301,0.16084,0.1479,0.11016,0.05475,1.94978,1.58417,1.15343,0.009505,0.009505,0.009505
7,312.488,1.95403,1.70501,1.17585,0.1816,0.1743,0.12616,0.06318,1.83807,1.5457,1.13002,0.009406,0.009406,0.009406
8,348.627,1.89316,1.63283,1.15722,0.19069,0.18257,0.13564,0.06906,1.80444,1.48327,1.11612,0.009307,0.009307,0.009307
9,393.822,1.85932,1.58455,1.14095,0.22253,0.18561,0.15175,0.07962,1.73362,1.39739,1.08432,0.009208,0.009208,0.009208
