epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3181,4.77904,8.32817,4.3341,7e-05,0.00194,0.00012,2e-05,6.10057,4.79824,4.03817,0.0704839,0.00327957,0.00327957
2,37.929,2.76199,2.04965,1.94864,0.27191,0.21719,0.168,0.04928,2.69624,2.29128,1.89853,0.0404184,0.00654744,0.00654744
3,48.0402,2.28482,1.63979,1.53241,0.51039,0.53975,0.48232,0.22316,1.8782,10.6794,1.56051,0.0102869,0.0097493,0.0097493
4,58.0724,1.97143,1.41928,1.34797,0.58825,0.5863,0.59197,0.26421,1.79242,5.20938,1.47911,0.009703,0.009703,0.009703
5,67.6143,1.71943,1.18969,1.23161,0.82919,0.63284,0.71606,0.40474,1.42506,1.53356,1.17784,0.009604,0.009604,0.009604
6,77.1558,1.63293,1.11938,1.18876,0.68218,0.70763,0.72161,0.42607,1.26399,6.04871,1.08985,0.009505,0.009505,0.009505
7,86.9123,1.54167,1.06023,1.14278,0.84956,0.64771,0.73584,0.42798,1.3445,0.98634,1.0888,0.009406,0.009406,0.009406
8,96.8144,1.46023,0.9797,1.11052,0.66228,0.56173,0.56808,0.28812,1.47661,1.4051,1.12787,0.009307,0.009307,0.009307
9,106.776,1.40735,0.9422,1.10672,0.86367,0.65523,0.75541,0.46157,1.22899,1.30215,1.06369,0.009208,0.009208,0.009208
10,116.37,1.37195,0.90811,1.0926,0.81057,0.64771,0.70195,0.45913,1.13309,0.87601,1.05432,0.009109,0.009109,0.009109
11,125.535,1.33718,0.88109,1.07532,0.86212,0.69521,0.78344,0.50034,1.18726,0.78617,1.03657,0.00901,0.00901,0.00901
12,134.821,1.30193,0.85545,1.06978,0.8848,0.69489,0.79511,0.51786,1.16071,0.72744,1.04089,0.008911,0.008911,0.008911
13,144.404,1.30331,0.85413,1.07322,0.86652,0.67143,0.7725,0.50806,1.11068,0.79436,1.02705,0.008812,0.008812,0.008812
14,154.032,1.25742,0.81332,1.05153,0.88286,0.68209,0.79081,0.53291,1.06737,0.75593,1.00803,0.008713,0.008713,0.008713
15,163.681,1.23497,0.7989,1.05664,0.88796,0.72238,0.82153,0.54888,1.06096,0.69999,1.00575,0.008614,0.008614,0.008614
16,173.445,1.22167,0.78804,1.04065,0.90751,0.72075,0.82444,0.52357,1.16159,0.73802,1.02955,0.008515,0.008515,0.008515
17,183.282,1.21583,0.78003,1.04389,0.80308,0.69619,0.74051,0.50929,1.02993,0.73874,1.002,0.008416,0.008416,0.008416
18,193.437,1.20815,0.76528,1.03556,0.88237,0.71429,0.79635,0.55269,1.02118,0.69255,0.98931,0.008317,0.008317,0.008317
19,203.804,1.18609,0.7336,1.0277,0.90717,0.7391,0.83825,0.56701,1.04907,0.66492,0.98757,0.008218,0.008218,0.008218
20,214.832,1.20548,0.77618,1.04148,0.88052,0.75742,0.84653,0.54783,1.13169,0.66911,1.01416,0.008119,0.008119,0.008119
21,226.116,1.15995,0.73377,1.0205,0.87013,0.75436,0.83444,0.57186,1.02601,0.65641,0.99377,0.00802,0.00802,0.00802
22,237.224,1.16386,0.73158,1.01758,0.89796,0.74402,0.84154,0.57314,1.0127,0.64778,0.99832,0.007921,0.007921,0.007921
23,248.576,1.15117,0.72158,1.01136,0.88241,0.7082,0.79995,0.5573,0.99736,0.66439,0.99351,0.007822,0.007822,0.007822
24,259.607,1.14466,0.72365,1.01926,0.92218,0.74402,0.85118,0.58073,1.03507,0.618,0.99744,0.007723,0.007723,0.007723
