epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.8171,4.60006,4.4594,3.29853,0.00398,0.01515,0.00313,0.00091,4.11462,3.90323,2.79493,0.0702941,0.00330065,0.00330065
2,115.994,3.12933,2.88472,1.75974,0.23569,0.03453,0.02947,0.01026,2.86692,inf,1.58149,0.0402284,0.00656831,0.00656831
3,141.302,2.62922,2.41818,1.46399,0.02751,0.02955,0.01826,0.00609,2.81135,3.2874,1.42067,0.0100968,0.00976997,0.00976997
4,166.823,2.31594,2.10183,1.31866,0.17299,0.11021,0.06775,0.02899,2.20496,2.12042,1.20981,0.009703,0.009703,0.009703
5,191.978,2.11714,1.89477,1.23779,0.08053,0.10418,0.06204,0.03356,2.20094,2.76643,1.2437,0.009604,0.009604,0.009604
6,216.773,2.0042,1.76909,1.19399,0.13068,0.15003,0.10119,0.04988,1.91837,1.96861,1.1327,0.009505,0.009505,0.009505
7,241.35,1.93116,1.68284,1.16732,0.23817,0.14979,0.10629,0.0549,1.8209,1.64878,1.09353,0.009406,0.009406,0.009406
8,264.943,1.87796,1.62267,1.14538,0.27698,0.13394,0.08129,0.03701,2.00868,1.6908,1.12559,0.009307,0.009307,0.009307
9,288.682,1.83954,1.57353,1.13317,0.17479,0.16317,0.11565,0.06231,1.75865,1.53099,1.07081,0.009208,0.009208,0.009208
10,312.008,1.80468,1.53271,1.12413,0.20181,0.19174,0.12512,0.06551,1.73035,1.5257,1.06461,0.009109,0.009109,0.009109
11,335.375,1.78154,1.49618,1.11027,0.19433,0.23078,0.13452,0.06817,1.71852,1.58396,1.06248,0.00901,0.00901,0.00901
12,359.319,1.7575,1.46569,1.10318,0.21979,0.18821,0.14355,0.07575,1.66429,1.39671,1.0462,0.008911,0.008911,0.008911
13,382.458,1.72941,1.43962,1.09719,0.21481,0.19386,0.15713,0.08328,1.62238,1.33478,1.04284,0.008812,0.008812,0.008812
14,406.372,1.72108,1.41861,1.09169,0.22589,0.18945,0.15387,0.08179,1.68045,1.34342,1.06808,0.008713,0.008713,0.008713
15,429.649,1.70758,1.40261,1.08526,0.33759,0.20978,0.16618,0.08815,1.61129,1.31073,1.02981,0.008614,0.008614,0.008614
16,452.977,1.67908,1.37677,1.07882,0.22843,0.20754,0.16107,0.08776,1.6343,1.3548,1.02891,0.008515,0.008515,0.008515
17,475.885,1.67379,1.35435,1.07248,0.27819,0.20451,0.17807,0.09609,1.57319,1.26885,1.02345,0.008416,0.008416,0.008416
18,499.366,1.65081,1.33437,1.06909,0.24423,0.21667,0.17789,0.09502,1.5559,1.25826,1.01337,0.008317,0.008317,0.008317
19,523.047,1.64793,1.33523,1.07106,0.24766,0.21462,0.1779,0.0974,1.571,1.24912,1.0171,0.008218,0.008218,0.008218
20,546.666,1.63603,1.31259,1.06413,0.27444,0.21214,0.18147,0.0979,1.55964,1.23024,1.00912,0.008119,0.008119,0.008119
21,570.284,1.61517,1.29543,1.06125,0.27428,0.21949,0.18776,0.10349,1.55939,1.24566,1.01345,0.00802,0.00802,0.00802
22,593.595,1.61548,1.29033,1.05606,0.24024,0.23429,0.18527,0.10167,1.53392,1.22102,1.01206,0.007921,0.007921,0.007921
23,616.986,1.61407,1.27859,1.05252,0.26606,0.23173,0.19559,0.10624,1.50988,1.18886,1.0027,0.007822,0.007822,0.007822
24,639.869,1.59871,1.26756,1.05201,0.26376,0.23357,0.19578,0.10627,1.51175,1.23219,1.0044,0.007723,0.007723,0.007723
25,663.283,1.58649,1.25336,1.04806,0.25137,0.23201,0.19761,0.107,1.52584,1.20156,1.00141,0.007624,0.007624,0.007624
26,686.063,1.58282,1.25203,1.04639,0.29122,0.23022,0.20868,0.11375,1.49097,1.16073,0.99304,0.007525,0.007525,0.007525
27,709.342,1.5807,1.25531,1.04965,0.28761,0.22629,0.20935,0.11558,1.50241,1.16583,0.99922,0.007426,0.007426,0.007426
28,732.834,1.56576,1.23314,1.04137,0.31519,0.23578,0.20965,0.11546,1.48736,1.15797,0.99605,0.007327,0.007327,0.007327
29,756.099,1.56349,1.23375,1.04396,0.29849,0.23158,0.21301,0.11639,1.49518,1.15528,0.99249,0.007228,0.007228,0.007228
30,779.493,1.56189,1.22995,1.04281,0.30833,0.2325,0.2116,0.11726,1.48994,1.14902,0.99695,0.007129,0.007129,0.007129
31,802.51,1.54944,1.21266,1.03464,0.31273,0.23151,0.21746,0.11901,1.4868,1.14942,0.99661,0.00703,0.00703,0.00703
32,823.34,1.55491,1.21363,1.03348,0.31206,0.24137,0.22159,0.12228,1.48044,1.14095,0.99353,0.006931,0.006931,0.006931
33,843.962,1.55397,1.21006,1.03629,0.30581,0.24514,0.2174,0.121,1.4603,1.12295,0.98558,0.006832,0.006832,0.006832
34,865.269,1.54863,1.21081,1.03414,0.30502,0.24042,0.2241,0.12445,1.448,1.10728,0.98256,0.006733,0.006733,0.006733
35,886.348,1.53009,1.18952,1.02601,0.32651,0.25021,0.23119,0.12922,1.45021,1.10533,0.98533,0.006634,0.006634,0.006634
36,906.845,1.54091,1.19543,1.03314,0.29916,0.24608,0.22581,0.12754,1.44423,1.11468,0.98164,0.006535,0.006535,0.006535
37,928.146,1.53651,1.19826,1.02838,0.29683,0.24666,0.21775,0.1218,1.44711,1.1178,0.98251,0.006436,0.006436,0.006436
38,949.115,1.52076,1.17276,1.02645,0.31323,0.25441,0.22826,0.1295,1.42855,1.0949,0.97714,0.006337,0.006337,0.006337
39,969.735,1.52206,1.17659,1.02738,0.32119,0.25755,0.23471,0.13139,1.43962,1.09649,0.98328,0.006238,0.006238,0.006238
40,990.359,1.51762,1.17393,1.02414,0.32301,0.25361,0.23806,0.13442,1.4286,1.08412,0.977,0.006139,0.006139,0.006139
41,1011,1.51228,1.16606,1.0213,0.33212,0.25814,0.2381,0.13344,1.42909,1.08565,0.97841,0.00604,0.00604,0.00604
42,1031.77,1.50512,1.16085,1.02118,0.32521,0.26015,0.2383,0.13596,1.42797,1.0866,0.97535,0.005941,0.005941,0.005941
43,1052.65,1.50484,1.1548,1.01798,0.33339,0.25503,0.23665,0.13293,1.42745,1.08275,0.97701,0.005842,0.005842,0.005842
44,1072.64,1.49498,1.15429,1.02047,0.32441,0.2556,0.23794,0.13479,1.41606,1.0769,0.97329,0.005743,0.005743,0.005743
45,1093.65,1.5005,1.15485,1.02102,0.32774,0.25752,0.2399,0.13668,1.41086,1.06689,0.9714,0.005644,0.005644,0.005644
46,1113.54,1.49797,1.15228,1.01985,0.32839,0.25949,0.24292,0.13694,1.41468,1.06575,0.97376,0.005545,0.005545,0.005545
47,1134.45,1.49842,1.14752,1.01518,0.32534,0.26003,0.24117,0.13527,1.41488,1.06271,0.97344,0.005446,0.005446,0.005446
48,1154.76,1.48655,1.1314,1.01703,0.3301,0.26779,0.24659,0.13987,1.40505,1.06546,0.97047,0.005347,0.005347,0.005347
49,1176.77,1.4866,1.13223,1.01519,0.31922,0.26627,0.2434,0.13734,1.41009,1.05891,0.97308,0.005248,0.005248,0.005248
50,1199.63,1.48809,1.13008,1.01632,0.33205,0.26087,0.24608,0.13908,1.39905,1.0561,0.96932,0.005149,0.005149,0.005149
51,1223.05,1.48097,1.12917,1.0122,0.3349,0.27454,0.25192,0.14227,1.39987,1.05509,0.96886,0.00505,0.00505,0.00505
52,1246.4,1.47717,1.12559,1.01162,0.33731,0.27243,0.25163,0.14302,1.39356,1.04756,0.96576,0.004951,0.004951,0.004951
53,1269.9,1.4805,1.12512,1.01372,0.32997,0.27053,0.24853,0.14011,1.398,1.04874,0.96792,0.004852,0.004852,0.004852
54,1293.19,1.47664,1.1217,1.01318,0.33993,0.26449,0.2505,0.14287,1.39594,1.04954,0.967,0.004753,0.004753,0.004753
55,1316.24,1.47029,1.11936,1.01244,0.34249,0.26815,0.24999,0.14201,1.39971,1.0474,0.96731,0.004654,0.004654,0.004654
56,1337.07,1.47234,1.11355,1.01089,0.34917,0.26286,0.25204,0.14275,1.40182,1.05841,0.96859,0.004555,0.004555,0.004555
57,1357.61,1.4742,1.11904,1.0108,0.34775,0.26927,0.25108,0.14338,1.41238,1.06103,0.96504,0.004456,0.004456,0.004456
58,1377.77,1.48751,1.13362,1.00927,0.3477,0.27108,0.25571,0.14509,1.41564,1.07906,0.96497,0.004357,0.004357,0.004357
59,1398.38,1.49151,1.13746,1.00826,0.34366,0.26807,0.2518,0.14339,1.41672,1.07385,0.96355,0.004258,0.004258,0.004258
60,1418.47,1.4885,1.13043,1.00159,0.36403,0.27229,0.25739,0.14634,1.41947,1.08458,0.96435,0.004159,0.004159,0.004159
61,1438.92,1.48903,1.13683,1.00189,0.35202,0.26979,0.25716,0.14592,1.42027,1.08038,0.96244,0.00406,0.00406,0.00406
62,1459.59,1.48357,1.13213,1.0028,0.34707,0.27868,0.25954,0.1479,1.41829,1.08062,0.96163,0.003961,0.003961,0.003961
63,1481.25,1.50552,1.14409,1.00335,0.35038,0.27421,0.26015,0.14864,1.41633,1.08137,0.96022,0.003862,0.003862,0.003862
64,1503.18,1.4904,1.133,0.99857,0.3568,0.26982,0.25989,0.14875,1.41444,1.07656,0.95898,0.003763,0.003763,0.003763
65,1524.51,1.47281,1.11597,0.99554,0.34516,0.27556,0.26184,0.14985,1.41604,1.0676,0.95862,0.003664,0.003664,0.003664
66,1544.66,1.48382,1.12041,0.99885,0.35244,0.28006,0.26321,0.15042,1.41906,1.06746,0.95969,0.003565,0.003565,0.003565
67,1565.05,1.49438,1.12379,0.99942,0.34833,0.27508,0.26144,0.14944,1.41742,1.06439,0.95827,0.003466,0.003466,0.003466
68,1585.1,1.47791,1.114,0.99436,0.34778,0.28026,0.26385,0.15078,1.41761,1.0638,0.95813,0.003367,0.003367,0.003367
69,1605.27,1.47787,1.11302,0.99377,0.36243,0.27731,0.26463,0.15158,1.41778,1.06103,0.95766,0.003268,0.003268,0.003268
70,1626.11,1.47943,1.11401,0.99103,0.37208,0.27273,0.2644,0.15203,1.41145,1.06255,0.95491,0.003169,0.003169,0.003169
71,1647.85,1.47406,1.10668,0.9912,0.3682,0.27237,0.26466,0.15136,1.41049,1.06083,0.95422,0.00307,0.00307,0.00307
72,1668.36,1.47598,1.11251,0.99209,0.36045,0.27939,0.2654,0.1524,1.40685,1.05689,0.95314,0.002971,0.002971,0.002971
73,1688.87,1.469,1.10573,0.98919,0.3542,0.2813,0.26823,0.15317,1.40565,1.05897,0.95312,0.002872,0.002872,0.002872
74,1709.82,1.47644,1.1056,0.98997,0.34774,0.27957,0.26638,0.15283,1.40931,1.0593,0.95413,0.002773,0.002773,0.002773
75,1730.08,1.46872,1.10713,0.98455,0.3613,0.2733,0.26603,0.15271,1.40671,1.05749,0.95277,0.002674,0.002674,0.002674
76,1750.9,1.47501,1.10879,0.98931,0.36132,0.27619,0.26904,0.15466,1.40444,1.05424,0.95176,0.002575,0.002575,0.002575
77,1770.94,1.46145,1.09443,0.98635,0.35305,0.27926,0.26795,0.15377,1.40383,1.05412,0.95121,0.002476,0.002476,0.002476
78,1791.8,1.46217,1.09922,0.98322,0.36269,0.27868,0.26842,0.15412,1.40442,1.05271,0.95081,0.002377,0.002377,0.002377
79,1813,1.46476,1.093,0.98584,0.36133,0.27869,0.26847,0.15375,1.402,1.05212,0.95011,0.002278,0.002278,0.002278
80,1834.15,1.46572,1.10076,0.98592,0.35163,0.28304,0.26929,0.15512,1.40055,1.04911,0.94977,0.002179,0.002179,0.002179
81,1854.5,1.45956,1.0919,0.98336,0.37607,0.27215,0.26893,0.15461,1.39935,1.05101,0.94878,0.00208,0.00208,0.00208
82,1875.35,1.46408,1.09326,0.98344,0.37504,0.27585,0.26902,0.15456,1.39918,1.05162,0.94995,0.001981,0.001981,0.001981
83,1895.77,1.45572,1.0904,0.9809,0.3734,0.27523,0.26948,0.15486,1.39897,1.05014,0.95012,0.001882,0.001882,0.001882
84,1915.68,1.45412,1.08405,0.98317,0.37571,0.27364,0.27061,0.15581,1.3969,1.04412,0.94919,0.001783,0.001783,0.001783
85,1936.63,1.44755,1.08309,0.98319,0.36484,0.27626,0.27107,0.15554,1.39888,1.04626,0.94913,0.001684,0.001684,0.001684
86,1958.16,1.45246,1.08382,0.98276,0.36792,0.27693,0.27129,0.15581,1.39726,1.04524,0.94912,0.001585,0.001585,0.001585
87,1978.07,1.44676,1.07816,0.98186,0.36017,0.28006,0.27176,0.15564,1.39863,1.04605,0.94954,0.001486,0.001486,0.001486
88,1998.97,1.4519,1.08156,0.97869,0.36289,0.27965,0.27277,0.15629,1.39779,1.04395,0.94872,0.001387,0.001387,0.001387
89,2019.8,1.44828,1.07674,0.98065,0.37394,0.27889,0.27097,0.1561,1.39689,1.04356,0.94853,0.001288,0.001288,0.001288
90,2040.02,1.43861,1.07039,0.97697,0.37733,0.27652,0.27215,0.15619,1.39689,1.04269,0.94824,0.001189,0.001189,0.001189
91,2096,1.40979,1.04792,0.986,0.37097,0.27883,0.27094,0.1559,1.40011,1.047,0.94845,0.00109,0.00109,0.00109
92,2119.08,1.40476,1.0337,0.98229,0.37153,0.27876,0.2711,0.15595,1.39965,1.04422,0.94912,0.000991,0.000991,0.000991
93,2141.51,1.39706,1.03086,0.98084,0.37807,0.27708,0.27135,0.15603,1.39962,1.04224,0.94884,0.000892,0.000892,0.000892
94,2164.3,1.39829,1.02577,0.98196,0.37384,0.27796,0.27186,0.15605,1.39974,1.04255,0.94909,0.000793,0.000793,0.000793
95,2186.25,1.39194,1.02013,0.98036,0.37229,0.27885,0.27251,0.15622,1.4008,1.04197,0.94942,0.000694,0.000694,0.000694
96,2208.46,1.39248,1.02398,0.97869,0.37381,0.2787,0.27295,0.15638,1.39989,1.04158,0.94897,0.000595,0.000595,0.000595
97,2230.8,1.38856,1.01466,0.98051,0.37156,0.27778,0.2729,0.15674,1.39857,1.04096,0.9489,0.000496,0.000496,0.000496
98,2253.16,1.38892,1.01555,0.98037,0.36779,0.2801,0.27247,0.15696,1.39791,1.04026,0.94897,0.000397,0.000397,0.000397
99,2275.11,1.37812,1.00739,0.97492,0.37044,0.28005,0.27218,0.15633,1.39762,1.03975,0.94883,0.000298,0.000298,0.000298
100,2297.06,1.38587,1.00852,0.97775,0.36399,0.2803,0.27234,0.15645,1.39778,1.0401,0.94869,0.000199,0.000199,0.000199
