epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5039,5.36579,15.5493,5.15961,9e-05,0.0097,5e-05,2e-05,6.15338,14.4977,4.15089,0.0702439,0.00330623,0.00330623
2,68.3365,3.99601,4.99274,3.2411,0.39718,0.30963,0.21148,0.06049,2.75068,50.8234,2.5,0.0401782,0.00657383,0.00657383
3,93.1461,2.3041,1.69709,1.56514,0.38315,0.57725,0.45584,0.19516,1.99328,12.3138,1.72622,0.0100464,0.00977544,0.00977544
4,117.058,2.00905,1.41324,1.36992,0.76646,0.55795,0.61453,0.28528,1.84701,1.54301,1.31496,0.009703,0.009703,0.009703
5,137.521,1.76262,1.20356,1.24403,0.80392,0.6225,0.70866,0.38974,1.54715,1.76862,1.23085,0.009604,0.009604,0.009604
6,162.365,1.62777,1.08553,1.17898,0.83769,0.61719,0.70694,0.40378,1.42106,1.45747,1.13864,0.009505,0.009505,0.009505
7,187.623,1.56146,1.02533,1.16524,0.81938,0.62166,0.70472,0.42233,1.38846,1.08053,1.1458,0.009406,0.009406,0.009406
1,42.7653,5.37779,15.5825,5.08143,8e-05,0.00905,4e-05,2e-05,6.18078,16.3665,4.1536,0.0704839,0.00327957,0.00327957
2,62.121,5.03757,9.23777,4.52062,0.00025,0.00646,0.00017,4e-05,5.96256,6.62843,4.39118,0.0404184,0.00654744,0.00654744
3,82.1124,2.76827,2.10866,1.93684,0.01602,0.55979,0.01312,0.00437,2.5972,inf,2.63602,0.0102869,0.0097493,0.0097493
4,101.717,2.08202,1.46483,1.41338,0.46476,0.61215,0.53274,0.20202,2.03324,5.88269,1.76523,0.009703,0.009703,0.009703
5,121.154,1.78039,1.18472,1.26691,0.72712,0.58436,0.64766,0.32911,1.59268,3.37703,1.21664,0.009604,0.009604,0.009604
6,140.889,1.68747,1.0951,1.21801,0.8106,0.6309,0.71762,0.40074,1.50867,1.37223,1.17376,0.009505,0.009505,0.009505
7,160.071,1.58921,1.04148,1.16379,0.84335,0.68904,0.75888,0.42568,1.50801,1.02861,1.18584,0.009406,0.009406,0.009406
8,179.256,1.49615,0.97657,1.1299,0.82714,0.64339,0.72253,0.38902,1.43969,1.86313,1.14553,0.009307,0.009307,0.009307
9,198.178,1.44305,0.94412,1.1244,0.88749,0.70071,0.81937,0.50992,1.25531,0.79243,1.07296,0.009208,0.009208,0.009208
10,217.318,1.40202,0.90603,1.10254,0.85452,0.63801,0.74409,0.43159,1.38458,1.09589,1.14064,0.009109,0.009109,0.009109
11,236.672,1.38136,0.87635,1.09052,0.88175,0.73239,0.81846,0.514,1.24967,0.7549,1.06935,0.00901,0.00901,0.00901
12,255.804,1.34138,0.86139,1.0852,0.87771,0.7423,0.83603,0.51549,1.22993,0.78584,1.06436,0.008911,0.008911,0.008911
13,275.376,1.34816,0.8563,1.08949,0.86188,0.73009,0.82001,0.53213,1.15354,0.74737,1.039,0.008812,0.008812,0.008812
14,294.505,1.29579,0.82687,1.06864,0.88547,0.72469,0.81865,0.5228,1.16194,0.82651,1.04144,0.008713,0.008713,0.008713
15,313.817,1.28635,0.82128,1.07805,0.88307,0.71946,0.81322,0.54236,1.11815,0.80604,1.03564,0.008614,0.008614,0.008614
16,332.508,1.26232,0.80969,1.06108,0.89662,0.75128,0.84064,0.54719,1.12531,0.7042,1.03784,0.008515,0.008515,0.008515
17,349.007,1.24683,0.79997,1.06251,0.88347,0.77311,0.85735,0.56256,1.11002,0.70194,1.02314,0.008416,0.008416,0.008416
18,364.41,1.23978,0.78063,1.05228,0.894,0.77246,0.86199,0.58282,1.0754,0.66583,1.00584,0.008317,0.008317,0.008317
19,379.892,1.21344,0.76319,1.04346,0.89389,0.76778,0.86374,0.58717,1.05429,0.67304,0.99755,0.008218,0.008218,0.008218
20,396.755,1.24508,0.79412,1.06591,0.89509,0.77211,0.8616,0.58491,1.05405,0.63648,1.00361,0.008119,0.008119,0.008119
21,414.838,1.19099,0.75885,1.03574,0.90103,0.75889,0.86254,0.59319,1.01667,0.6177,1.00029,0.00802,0.00802,0.00802
22,434.316,1.19852,0.75044,1.03451,0.90855,0.75141,0.85698,0.58887,1.04648,0.66519,1.00591,0.007921,0.007921,0.007921
23,454.229,1.18172,0.73943,1.0295,0.90975,0.76471,0.85512,0.60767,1.00544,0.63431,0.99821,0.007822,0.007822,0.007822
24,473.504,1.17352,0.73907,1.03721,0.889,0.7841,0.8661,0.57973,1.07728,0.61949,0.99691,0.007723,0.007723,0.007723
25,492.815,1.15758,0.73232,1.03035,0.91769,0.74725,0.85753,0.58902,1.01394,0.63073,0.98981,0.007624,0.007624,0.007624
26,511.837,1.15327,0.71375,1.01457,0.91589,0.76721,0.86222,0.59794,1.00691,0.59748,0.99036,0.007525,0.007525,0.007525
27,530.787,1.1365,0.7113,1.02876,0.90916,0.78151,0.87395,0.61532,1.00537,0.61493,0.99151,0.007426,0.007426,0.007426
28,550.027,1.13302,0.7036,1.01771,0.92348,0.73562,0.85792,0.58297,1.04139,0.62155,0.99708,0.007327,0.007327,0.007327
29,569.177,1.126,0.70016,1.02373,0.91228,0.76988,0.86413,0.60719,0.97658,0.60528,0.98502,0.007228,0.007228,0.007228
30,588.5,1.12575,0.70758,1.02315,0.89833,0.78821,0.85944,0.60881,0.97224,0.60415,0.98512,0.007129,0.007129,0.007129
31,607.554,1.11972,0.69693,1.01541,0.91231,0.78668,0.87609,0.61752,0.96774,0.58182,0.98088,0.00703,0.00703,0.00703
32,626.842,1.11007,0.67954,1.00711,0.91633,0.77875,0.87863,0.62072,0.96691,0.58767,0.98104,0.006931,0.006931,0.006931
33,646.091,1.10983,0.69252,1.00656,0.90888,0.78022,0.87323,0.59551,1.05766,0.59791,1.00735,0.006832,0.006832,0.006832
34,665.241,1.13274,0.69546,1.01637,0.90675,0.77312,0.87014,0.60122,1.01466,0.59992,0.98916,0.006733,0.006733,0.006733
35,684.783,1.10608,0.67626,1.00463,0.92935,0.77378,0.87982,0.631,0.93793,0.56355,0.97231,0.006634,0.006634,0.006634
36,703.836,1.10372,0.69097,1.01864,0.92669,0.77182,0.87692,0.60786,1.00432,0.56483,0.99227,0.006535,0.006535,0.006535
37,723.13,1.09171,0.6653,1.00383,0.90803,0.7744,0.8722,0.6074,0.98693,0.58746,0.98318,0.006436,0.006436,0.006436
38,742.406,1.10769,0.68616,1.01469,0.93134,0.74661,0.85904,0.59484,1.01699,0.58939,0.99057,0.006337,0.006337,0.006337
39,761.79,1.10811,0.67003,1.01099,0.91942,0.76858,0.86226,0.61254,0.94588,0.62422,0.96697,0.006238,0.006238,0.006238
40,780.831,1.09632,0.66255,1.00485,0.90397,0.77276,0.87064,0.6126,0.96406,0.57216,0.973,0.006139,0.006139,0.006139
41,799.519,1.06869,0.64298,0.99778,0.91081,0.79875,0.88307,0.63836,0.9301,0.54166,0.96611,0.00604,0.00604,0.00604
42,816.523,1.05197,0.64477,0.98623,0.91737,0.77509,0.87905,0.61393,0.97017,0.5619,0.97462,0.005941,0.005941,0.005941
43,833.282,1.09165,0.66115,1.01181,0.91591,0.78855,0.88517,0.63689,0.93308,0.54823,0.96705,0.005842,0.005842,0.005842
44,851.971,1.04938,0.6357,0.98996,0.9131,0.79186,0.88014,0.63494,0.93097,0.53284,0.96259,0.005743,0.005743,0.005743
45,871.194,1.05644,0.64123,0.99707,0.89848,0.80802,0.88419,0.63006,0.95494,0.54289,0.97145,0.005644,0.005644,0.005644
46,890.648,1.05314,0.64204,0.9949,0.91519,0.79444,0.88715,0.62424,0.93782,0.54492,0.96345,0.005545,0.005545,0.005545
47,909.518,1.05535,0.64464,1.00157,0.92128,0.7792,0.88002,0.61456,0.97237,0.54141,0.98107,0.005446,0.005446,0.005446
48,928.682,1.05681,0.63758,0.99767,0.91951,0.79751,0.89247,0.64517,0.91044,0.53029,0.96131,0.005347,0.005347,0.005347
49,948.014,1.04182,0.63193,0.98132,0.92653,0.79186,0.88461,0.62429,0.95146,0.5319,0.96691,0.005248,0.005248,0.005248
50,967.07,1.04721,0.62653,0.98978,0.92813,0.78668,0.8868,0.62715,0.94995,0.53169,0.97151,0.005149,0.005149,0.005149
51,985.812,1.03756,0.62993,0.99433,0.92586,0.79108,0.88589,0.62625,0.95668,0.55326,0.97495,0.00505,0.00505,0.00505
52,1004.82,1.01458,0.60961,0.98966,0.92827,0.80349,0.89816,0.64643,0.90675,0.51676,0.95657,0.004951,0.004951,0.004951
53,1024.13,1.02535,0.61978,0.98531,0.93546,0.80577,0.89283,0.65046,0.8978,0.51262,0.95735,0.004852,0.004852,0.004852
54,1043.24,1.02625,0.62371,0.98941,0.91917,0.78539,0.88719,0.63012,0.93897,0.53245,0.96588,0.004753,0.004753,0.004753
55,1062.38,1.0277,0.61315,0.99095,0.90852,0.78964,0.87927,0.606,1.00693,0.55266,0.98106,0.004654,0.004654,0.004654
56,1081.72,1.02483,0.61825,0.98623,0.92645,0.81428,0.90023,0.65551,0.87589,0.495,0.94618,0.004555,0.004555,0.004555
57,1100.84,1.01319,0.60838,0.97558,0.91339,0.81383,0.89893,0.64904,0.91963,0.51173,0.95544,0.004456,0.004456,0.004456
58,1120.02,1.01589,0.60853,0.98051,0.918,0.81051,0.89539,0.63846,0.92995,0.5094,0.95729,0.004357,0.004357,0.004357
59,1139.22,1.00021,0.59402,0.97535,0.90925,0.80608,0.88764,0.63302,0.91456,0.51132,0.95498,0.004258,0.004258,0.004258
60,1158.44,1.00146,0.60149,0.9772,0.92956,0.80931,0.89978,0.64687,0.91172,0.49333,0.95274,0.004159,0.004159,0.004159
61,1177.75,0.99657,0.59825,0.97866,0.92703,0.81254,0.90341,0.64273,0.91854,0.4983,0.96113,0.00406,0.00406,0.00406
62,1197.12,0.98455,0.59042,0.96938,0.9123,0.80802,0.89952,0.64657,0.91052,0.49674,0.95187,0.003961,0.003961,0.003961
63,1216.35,1.00596,0.59485,0.97555,0.92502,0.81836,0.90467,0.66419,0.85705,0.48389,0.93864,0.003862,0.003862,0.003862
64,1235.27,0.99904,0.59762,0.98431,0.93317,0.81965,0.90056,0.66226,0.85968,0.4837,0.94146,0.003763,0.003763,0.003763
65,1254.36,1.00486,0.59539,0.96794,0.92805,0.80608,0.90137,0.6492,0.90791,0.48336,0.95716,0.003664,0.003664,0.003664
66,1273.4,1.00182,0.59925,0.98752,0.9192,0.82999,0.90393,0.64875,0.91977,0.48873,0.95899,0.003565,0.003565,0.003565
67,1292.57,0.98876,0.58806,0.9779,0.92043,0.81642,0.90129,0.64838,0.9053,0.48564,0.94954,0.003466,0.003466,0.003466
68,1311.58,0.98959,0.58101,0.97168,0.91731,0.81745,0.89949,0.64656,0.90957,0.4906,0.94969,0.003367,0.003367,0.003367
69,1330.79,0.96897,0.56692,0.96921,0.93797,0.81319,0.90413,0.66258,0.883,0.47388,0.94592,0.003268,0.003268,0.003268
70,1349.8,0.98223,0.58034,0.97594,0.92812,0.8096,0.8991,0.65743,0.90028,0.49746,0.95034,0.003169,0.003169,0.003169
71,1367.96,0.98175,0.58292,0.97007,0.93589,0.80209,0.90309,0.65173,0.89173,0.48948,0.94632,0.00307,0.00307,0.00307
72,1386.93,0.96334,0.56549,0.9632,0.92729,0.81642,0.90365,0.65024,0.92277,0.48296,0.95745,0.002971,0.002971,0.002971
73,1405.81,0.9875,0.57422,0.97129,0.92786,0.8065,0.90192,0.64543,0.90991,0.48685,0.95243,0.002872,0.002872,0.002872
