epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.01,5.14174,4.89306,3.60761,0.51309,0.01309,0.00512,0.00135,3.82123,3.17119,2.25545,0.0700741,0.0033251,0.0033251
2,199.323,3.02607,2.72711,1.69629,0.18186,0.07208,0.05186,0.02061,2.58765,2.13904,1.45277,0.0400082,0.00659252,0.00659252
3,287.731,2.43996,2.20888,1.37625,0.10455,0.11697,0.07164,0.03516,2.18806,1.99586,1.25808,0.00987624,0.00979393,0.00979393
4,374.752,2.20173,1.94561,1.27244,0.17518,0.14306,0.10169,0.04906,1.98522,1.66431,1.16696,0.009703,0.009703,0.009703
5,459.958,2.04961,1.78281,1.20858,0.18283,0.15838,0.11784,0.05853,1.8878,1.52261,1.12583,0.009604,0.009604,0.009604
6,546.052,1.96127,1.66785,1.16977,0.22167,0.17067,0.13516,0.06993,1.82613,1.46284,1.10397,0.009505,0.009505,0.009505
7,632.756,1.88447,1.58869,1.15074,0.20599,0.1828,0.14171,0.0729,1.76871,1.42311,1.09573,0.009406,0.009406,0.009406
8,719.197,1.83487,1.5309,1.12471,0.25812,0.19004,0.15772,0.08244,1.72266,1.34861,1.07972,0.009307,0.009307,0.009307
9,806.126,1.8041,1.49704,1.11895,0.24721,0.20132,0.16494,0.08845,1.69381,1.33266,1.06775,0.009208,0.009208,0.009208
10,903.247,1.77206,1.45416,1.10986,0.26098,0.20525,0.17787,0.09393,1.66551,1.29414,1.06071,0.009109,0.009109,0.009109
11,990.33,1.73745,1.42116,1.09798,0.27079,0.20817,0.17667,0.09441,1.62376,1.26836,1.04755,0.00901,0.00901,0.00901
12,1079.17,1.71678,1.39151,1.09089,0.28994,0.21376,0.18932,0.10201,1.6232,1.24396,1.04564,0.008911,0.008911,0.008911
13,1163.13,1.70243,1.36837,1.08398,0.28626,0.21465,0.19021,0.10287,1.61302,1.26068,1.04126,0.008812,0.008812,0.008812
14,1248.42,1.6671,1.33662,1.07103,0.30885,0.22561,0.20427,0.1114,1.58487,1.20764,1.03075,0.008713,0.008713,0.008713
15,1340.04,1.66425,1.32632,1.07089,0.3026,0.22997,0.20572,0.11258,1.5679,1.18839,1.02671,0.008614,0.008614,0.008614
16,1435.54,1.65172,1.31071,1.06585,0.30867,0.23991,0.21511,0.11788,1.53897,1.17869,1.02044,0.008515,0.008515,0.008515
17,1530.29,1.6272,1.28396,1.0626,0.31156,0.2353,0.21495,0.11692,1.54606,1.16664,1.0175,0.008416,0.008416,0.008416
