epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.591,4.53914,5.11741,3.88667,0.00317,0.00592,0.00222,0.00055,4.36413,4.19506,3.5,0.0701695,0.0033145,0.0033145
2,395.277,4.13464,4.07684,2.95691,0.25259,0.00399,0.00075,0.00018,4.2902,inf,2.93541,0.0401037,0.00658202,0.00658202
3,612.235,3.79646,3.54899,2.27945,0.39273,0.00874,0.00385,0.00105,3.6958,4.24125,2.11466,0.00997186,0.00978354,0.00978354
4,799.937,3.52975,3.29058,1.94908,0.07524,0.02154,0.00564,0.00134,3.66625,4.75582,1.94198,0.009703,0.009703,0.009703
5,986.351,3.23369,2.96029,1.76779,0.0358,0.04543,0.02133,0.0081,3.36806,3.91817,1.73183,0.009604,0.009604,0.009604
6,1138.61,3.06071,2.81413,1.66583,0.2599,0.00714,0.00701,0.002,3.81347,21.2522,3.02085,0.009505,0.009505,0.009505
7,1294.08,2.91441,2.64123,1.60198,0.07168,0.06307,0.0382,0.01252,3.03496,3.19085,1.63236,0.009406,0.009406,0.009406
8,1450.16,2.78878,2.49129,1.5156,0.28926,0.07898,0.06281,0.02503,2.74265,2.53352,1.48542,0.009307,0.009307,0.009307
9,1617.71,2.73187,2.40526,1.5146,0.26032,0.07489,0.06152,0.02496,2.80686,2.44998,1.49032,0.009208,0.009208,0.009208
10,1793.15,2.61446,2.26537,1.44369,0.33719,0.09329,0.07929,0.03589,2.54098,2.18248,1.4272,0.009109,0.009109,0.009109
11,1981.14,2.54754,2.14028,1.41493,0.25579,0.0798,0.07153,0.03008,2.62412,2.3209,1.44034,0.00901,0.00901,0.00901
12,2166.69,2.49024,2.09485,1.3894,0.43501,0.09796,0.09536,0.044,2.55655,2.41005,1.37202,0.008911,0.008911,0.008911
13,2345.45,2.44978,2.00643,1.36012,0.5118,0.10279,0.11482,0.05609,2.39918,2.07775,1.33404,0.008812,0.008812,0.008812
14,2488.95,2.43061,1.95273,1.33105,0.44808,0.11448,0.12281,0.06035,2.3461,2.0571,1.30768,0.008713,0.008713,0.008713
15,2650.58,2.37852,1.95526,1.34227,0.51654,0.11463,0.12271,0.05718,2.36916,1.89456,1.33834,0.008614,0.008614,0.008614
16,2824.7,2.39494,1.91505,1.33601,0.5417,0.11714,0.12723,0.0632,2.27654,1.90603,1.28194,0.008515,0.008515,0.008515
17,2983.01,2.30638,1.81219,1.28671,0.37182,0.12698,0.13102,0.06677,2.25174,1.8572,1.28495,0.008416,0.008416,0.008416
18,3158.22,2.27794,1.78621,1.29358,0.32166,0.14972,0.14314,0.07487,2.20487,1.79174,1.24614,0.008317,0.008317,0.008317
19,3335.98,2.21782,1.73747,1.27024,0.55705,0.11562,0.14159,0.07468,2.24144,2.04771,1.24609,0.008218,0.008218,0.008218
20,3529.37,2.26943,1.74462,1.26939,0.41753,0.15586,0.15293,0.08065,2.13591,1.7897,1.23862,0.008119,0.008119,0.008119
21,3673.84,2.21829,1.71884,1.25576,0.41373,0.1569,0.15787,0.08048,2.13392,1.73991,1.23075,0.00802,0.00802,0.00802
22,3834.09,2.18461,1.67324,1.23849,0.47021,0.16596,0.15901,0.0818,2.15751,1.78832,1.22011,0.007921,0.007921,0.007921
23,3984.95,2.16173,1.63251,1.24122,0.49384,0.16565,0.16788,0.08956,2.07527,1.63191,1.20666,0.007822,0.007822,0.007822
24,4160.87,2.14258,1.65956,1.23401,0.41756,0.16459,0.1538,0.07965,2.16431,1.76192,1.21436,0.007723,0.007723,0.007723
25,4303.1,2.15035,1.60589,1.22905,0.59665,0.16524,0.1668,0.08816,2.08222,1.62095,1.19152,0.007624,0.007624,0.007624
26,4452.54,2.11287,1.61106,1.20566,0.55193,0.16928,0.18198,0.09495,2.08207,1.66363,1.18737,0.007525,0.007525,0.007525
27,4613.92,2.1095,1.56422,1.20594,0.63548,0.16667,0.17973,0.09639,2.00935,1.63551,1.1719,0.007426,0.007426,0.007426
28,4788.7,2.10598,1.57208,1.20706,0.54828,0.18232,0.18636,0.10088,2.04137,1.61997,1.16788,0.007327,0.007327,0.007327
29,4968.18,2.07,1.52551,1.18038,0.49212,0.18747,0.18911,0.09964,2.05927,1.61813,1.17246,0.007228,0.007228,0.007228
30,5165.68,2.07726,1.51255,1.19437,0.5844,0.18551,0.18682,0.0996,1.99426,1.58978,1.16404,0.007129,0.007129,0.007129
31,5348.58,2.0252,1.49251,1.17699,0.52174,0.18983,0.18568,0.10051,2.04391,1.62938,1.15781,0.00703,0.00703,0.00703
32,5543.27,2.0358,1.48814,1.18062,0.5776,0.19476,0.19795,0.10605,2.01329,1.51947,1.15441,0.006931,0.006931,0.006931
33,5717.5,2.01035,1.4777,1.17892,0.65109,0.18791,0.20324,0.11036,1.941,1.50784,1.14828,0.006832,0.006832,0.006832
34,5894.93,2.02382,1.47416,1.17212,0.56717,0.21021,0.20686,0.11115,1.94464,1.51106,1.13958,0.006733,0.006733,0.006733
35,6088.97,1.96209,1.48318,1.15534,0.58979,0.20458,0.21093,0.11584,1.92351,1.54084,1.13299,0.006634,0.006634,0.006634
36,6275.34,1.95941,1.4394,1.15782,0.54183,0.21054,0.21096,0.11656,1.91519,1.45971,1.12652,0.006535,0.006535,0.006535
