epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.091,4.62814,4.34718,3.15538,0.01191,0.01645,0.00505,0.00143,3.69116,3.39907,2.02813,0.0701852,0.00331276,0.00331276
2,240.003,3.05345,2.81408,1.66747,0.06966,0.06107,0.04114,0.01648,2.69476,2.34237,1.43693,0.0401194,0.00658029,0.00658029
3,358.917,2.44864,2.23195,1.37389,0.19739,0.10967,0.07134,0.03237,2.16835,1.926,1.2358,0.00998759,0.00978183,0.00978183
4,1277.51,2.21841,1.98752,1.28047,0.08943,0.11184,0.0698,0.02985,2.33237,1.88491,1.24028,0.009703,0.009703,0.009703
5,1457.32,2.08809,1.83515,1.22379,0.15139,0.14872,0.10434,0.05023,1.99051,1.59446,1.14587,0.009604,0.009604,0.009604
6,1586.19,1.98831,1.72805,1.18561,0.18612,0.16632,0.1211,0.06138,1.82851,1.49768,1.11323,0.009505,0.009505,0.009505
7,1712.61,1.9214,1.65561,1.16096,0.21265,0.17795,0.13597,0.06895,1.80793,1.46583,1.10697,0.009406,0.009406,0.009406
8,1993.67,1.87933,1.60017,1.14659,0.21466,0.18671,0.14538,0.0757,1.75719,1.42596,1.08382,0.009307,0.009307,0.009307
9,2228.5,1.84075,1.5565,1.13247,0.23867,0.18816,0.15213,0.07986,1.6978,1.35893,1.0672,0.009208,0.009208,0.009208
10,2440.71,1.79738,1.50572,1.1189,0.22426,0.18806,0.1561,0.0818,1.67489,1.34708,1.06014,0.009109,0.009109,0.009109
11,2652.84,1.7759,1.47755,1.10976,0.24517,0.20394,0.16563,0.08674,1.66585,1.31928,1.05858,0.00901,0.00901,0.00901
12,2767.99,1.76154,1.45584,1.10588,0.25301,0.18701,0.16547,0.08556,1.68934,1.34203,1.05487,0.008911,0.008911,0.008911
13,2872.63,1.73576,1.42633,1.09941,0.27506,0.20638,0.18318,0.0971,1.62993,1.27969,1.04906,0.008812,0.008812,0.008812
14,3118.07,1.71186,1.39505,1.09038,0.27851,0.22075,0.19115,0.10084,1.59902,1.26883,1.03521,0.008713,0.008713,0.008713
15,3264.62,1.69682,1.37517,1.08197,0.29842,0.22344,0.19814,0.10776,1.60132,1.2432,1.03523,0.008614,0.008614,0.008614
16,3542.99,1.67661,1.35634,1.07829,0.28822,0.2142,0.19383,0.10368,1.58312,1.22746,1.02631,0.008515,0.008515,0.008515
17,3646.43,1.66442,1.3401,1.07642,0.27633,0.21973,0.19322,0.10345,1.56229,1.23637,1.02755,0.008416,0.008416,0.008416
18,4293.95,1.65766,1.32756,1.06993,0.28773,0.22584,0.20255,0.10864,1.5495,1.21102,1.01888,0.008317,0.008317,0.008317
19,4579.21,1.64562,1.32215,1.0688,0.31999,0.22481,0.20894,0.11322,1.55352,1.19853,1.02264,0.008218,0.008218,0.008218
20,4669.13,1.62992,1.30054,1.06275,0.30442,0.23397,0.21632,0.11829,1.52468,1.18167,1.01287,0.008119,0.008119,0.008119
21,4782.35,1.62506,1.29733,1.06381,0.30818,0.24282,0.21777,0.11906,1.51605,1.16573,1.00713,0.00802,0.00802,0.00802
22,4911.47,1.61393,1.28405,1.05956,0.31532,0.24059,0.21969,0.12054,1.50705,1.16252,1.00674,0.007921,0.007921,0.007921
23,5160.11,1.60137,1.26875,1.05285,0.32727,0.2458,0.22542,0.12263,1.50639,1.14876,1.00531,0.007822,0.007822,0.007822
24,5306.76,1.59473,1.25604,1.04785,0.31772,0.24684,0.22565,0.12529,1.49729,1.15677,1.00366,0.007723,0.007723,0.007723
25,5403.38,1.58157,1.24416,1.04781,0.30643,0.24728,0.224,0.12268,1.4907,1.14746,1.00105,0.007624,0.007624,0.007624
26,5500.23,1.57682,1.2399,1.04627,0.31306,0.24728,0.22439,0.12485,1.4919,1.14704,0.99833,0.007525,0.007525,0.007525
27,5655.37,1.5864,1.24706,1.04661,0.32375,0.2526,0.22904,0.12629,1.48834,1.13862,0.99689,0.007426,0.007426,0.007426
28,5721.34,1.56657,1.22746,1.03944,0.32425,0.25137,0.23346,0.131,1.46855,1.12137,0.99324,0.007327,0.007327,0.007327
29,6248.11,1.55217,1.20932,1.03816,0.33341,0.25606,0.24067,0.13385,1.45952,1.12155,0.99051,0.007228,0.007228,0.007228
30,6390.03,1.54876,1.20808,1.037,0.32691,0.25307,0.23797,0.13198,1.46408,1.11682,0.9949,0.007129,0.007129,0.007129
31,6447.6,1.55506,1.21203,1.03709,0.32286,0.25667,0.24085,0.13321,1.45813,1.11555,0.99174,0.00703,0.00703,0.00703
32,6947.66,1.54327,1.1987,1.0322,0.33884,0.26277,0.24566,0.13701,1.43778,1.10706,0.98723,0.006931,0.006931,0.006931
33,7441.95,1.53218,1.18817,1.03204,0.33567,0.2626,0.24443,0.1372,1.44813,1.10013,0.98845,0.006832,0.006832,0.006832
